season,Waeek,AWaay Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2006,1,At,Ca,At,Ca,At,Ca,At
2006,1,Sf,Az,Sf,Sf,Sf,Az,Az
2006,1,Ba,Tb,Ba,Tb,Tb,Tb,Ba
2006,1,Ch,Gb,Ch,Ch,Gb,Gb,Ch
2006,1,Cn,Kc,Kc,Cn,Cn,Cn,Cn
2006,1,In,Gi,In,In,In,In,In
2006,1,Da,Jk,Jk,Jk,Da,Jk,Jk
2006,1,Jt,Tn,Tn,Tn,Tn,Tn,Jt
2006,1,Mn,Wa,Mn,Wa,Mn,Wa,Mn
2006,1,Bu,Ne,Ne,Ne,Ne,Ne,Ne
2006,1,No,Cl,Cl,No,No,Cl,No
2006,1,Ph,Ho,Ho,Ph,Ph,Ph,Ph
2006,1,Mi,Pt,Pt,Pt,Mi,Pt,Pt
2006,1,Sd,Oa,Oa,Sd,Sd,Sd,Sd
2006,1,Se,Dt,Se,Se,Se,Se,Se
2006,1,Dn,Sl,Sl,Dn,Dn,Dn,Sl
2006,2,Tb,At,Tb,At,Tb,At,At
2006,2,Oa,Ba,Ba,Ba,Ba,Ba,Ba
2006,2,Bu,Mi,Mi,Mi,Mi,Bu,Bu
2006,2,Dt,Ch,Ch,Ch,Ch,Ch,Ch
2006,2,Cl,Cn,Cn,Cn,Cn,Cn,Cn
2006,2,Wa,Da,Da,Da,Wa,Da,Da
2006,2,Kc,Dn,Kc,Dn,Dn,Dn,Dn
2006,2,Gi,Ph,Ph,Ph,Ph,Ph,Gi
2006,2,Ho,In,In,In,In,In,In
2006,2,Pt,Jk,Pt,Pt,Pt,Jk,Jk
2006,2,Ca,Mn,Ca,Ca,Mn,Ca,Mn
2006,2,Ne,Jt,Ne,Ne,Jt,Jt,Ne
2006,2,No,Gb,No,No,Gb,No,No
2006,2,Tn,Sd,Sd,Sd,Tn,Sd,Sd
2006,2,Az,Se,Se,Se,Se,Se,Se
2006,2,Sl,Sf,Sl,Sl,Sl,Sl,Sf
2006,3,Ba,Cl,Ba,Ba,Cl,Ba,Ba
2006,3,Ca,Tb,Tb,Ca,Tb,Ca,Ca
2006,3,Ch,Mn,Mn,Mn,Ch,Ch,Ch
2006,3,Cn,Pt,Pt,Pt,Pt,Cn,Cn
2006,3,Dn,Ne,Ne,Ne,Dn,Ne,Dn
2006,3,Gb,Dt,Dt,Dt,Gb,Gb,Gb
2006,3,Jk,In,In,In,In,In,In
2006,3,Jt,Bu,Bu,Bu,Jt,Bu,Jt
