season,week,Away Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2007,1,Ca,Sl,Ca,Sl,Ca,Sl,Ca
2007,1,Ba,Cn,Ba,Cn,Cn,Cn,Cn
2007,1,Gi,Da,Da,Da,Gi,Da,Da
2007,1,Dn,Bu,Dn,Dn,Dn,Dn,Dn
2007,1,Dt,Oa,Dt,Oa,Dt,Oa,Dt
2007,1,Ph,Gb,Gb,Gb,Gb,Gb,Gb
2007,1,Kc,Ho,Kc,Ho,Kc,Kc,Ho
2007,1,No,In,In,In,In,In,In
2007,1,At,Mn,At,Mn,At,Mn,Mn
2007,1,Ne,Jt,Ne,Ne,Ne,Ne,Ne
2007,1,Pt,Cl,Pt,Pt,Pt,Pt,Pt
2007,1,Ch,Sd,Sd,Sd,Ch,Sd,Sd
2007,1,Tb,Se,Se,Se,Se,Se,Se
2007,1,Az,Sf,Sf,Az,Az,Sf,Sf
2007,1,Tn,Jk,Jk,Jk,Tn,Jk,Tn
2007,1,Mi,W,Mi,W,W,W,W
2007,2,Se,Az,Se,Se,Se,Se,Az
2007,2,Jt,Ba,Jt,Ba,Jt,Ba,Ba
2007,2,Kc,Ch,Ch,Ch,Ch,Ch,Ch
2007,2,Cn,Cl,Cn,Cn,Cn,Cn,Cl
2007,2,Da,Mi,Da,Da,Da,Da,Da
2007,2,Oa,Dn,Dn,Dn,Dn,Dn,Dn
2007,2,Mn,Dt,Dt,Mn,Dt,Dt,Dt
2007,2,Gb,Gi,Gb,Gb,Gb,Gb,Gb
2007,2,Ho,Ca,Ca,Ca,Ho,Ca,Ho
2007,2,In,Tn,In,In,In,In,In
2007,2,At,Jk,Jk,Jk,Jk,Jk,Jk
2007,2,Sd,Ne,Ne,Ne,Ne,Ne,Ne
2007,2,Bu,Pt,Pt,Pt,Pt,Pt,Pt
2007,2,Sf,Sl,Sf,Sl,Sf,Sl,Sf
2007,2,No,Tb,No,No,No,No,Tb
2007,2,W,Ph,Ph,W,W,W,W
2007,3,Az,Ba,Ba,Ba,Az,Ba,Ba
2007,3,Ca,At,Ca,Ca,Ca,Ca,Ca
2007,3,Da,Ch,Ch,Ch,Ch,Da,Da
2007,3,Sd,Gb,Gb,Sd,Gb,Sd,Gb
2007,3,Gi,W,W,W,W,W,Gi
2007,3,In,Ho,In,In,In,In,In
2007,3,Jk,Dn,Dn,Dn,Dn,Dn,Jk
2007,3,Mi,Jt,Jt,Mi,Mi,Jt,Jt
2007,3,Mn,Kc,Mn,Mn,Mn,Kc,Kc
2007,3,Bu,Ne,Ne,Ne,Ne,Ne,Ne
2007,3,Cl,Oa,Cl,Cl,Cl,Cl,Oa
2007,3,Dt,Ph,Dt,Dt,Dt,Dt,Ph
2007,3,Sf,Pt,Pt,Pt,Pt,Pt,Pt
2007,3,Cn,Se,Se,Cn,Se,Se,Se
2007,3,Sl,Tb,Tb,Sl,Tb,Tb,Tb
2007,3,Tn,No,Tn,Tn,Tn,No,Tn
2007,4,Ho,At,At,Ho,Ho,Ho,At
2007,4,Pt,Az,Pt,Pt,Pt,Pt,Az
2007,4,Jt,Bu,Jt,Jt,Jt,Jt,Bu
2007,4,Ba,Cl,Ba,Cl,Cl,Ba,Cl
2007,4,Sl,Da,Da,Da,Sl,Da,Da
2007,4,Ch,Dt,Dt,Ch,Ch,Ch,Dt
2007,4,Gb,Mn,Gb,Gb,Gb,Gb,Gb
2007,4,Ph,Gi,Gi,Ph,Gi,Gi,Gi
2007,4,Dn,In,In,In,In,In,In
2007,4,Kc,Sd,Sd,Sd,Sd,Sd,Kc
2007,4,Ne,Cn,Ne,Ne,Ne,Ne,Ne
2007,4,Oa,Mi,Mi,Mi,Mi,Oa,Oa
2007,4,Se,Sf,Se,Se,Se,Se,Se
2007,4,Tb,Ca,Tb,Ca,Tb,Ca,Tb
2007,5,Az,Sl,Az,Az,Az,Az,Az
2007,5,Ba,Sf,Sf,Ba,Sf,Ba,Ba
2007,5,Ca,No,Ca,No,Ca,No,Ca
2007,5,Ch,Gb,Gb,Gb,Gb,Gb,Ch
2007,5,Da,Bu,Da,Da,Da,Da,Da
2007,5,Jt,Gi,Gi,Jt,Gi,Gi,Gi
2007,5,Mi,Ho,Ho,Ho,Ho,Ho,Ho
2007,5,Tb,In,In,In,In,In,In
2007,5,Jk,Kc,Jk,Kc,Jk,Kc,Jk
2007,5,Cl,Ne,Ne,Ne,Ne,Ne,Ne
2007,5,Se,Pt,Pt,Pt,Pt,Pt,Pt
2007,5,Sd,Dn,Dn,Dn,Dn,Dn,Sd
2007,5,At,Tn,Tn,Tn,Tn,Tn,Tn
2007,5,Dt,W,W,W,W,W,W
2007,6,Sl,Ba,Ba,Ba,Ba,Ba,Ba
2007,6,Ca,Az,Az,Az,Ca,Az,Ca
2007,6,Mi,Cl,Cl,Cl,Mi,Cl,Cl
2007,6,W,Gb,Gb,Gb,Gb,Gb,Gb
2007,6,Gi,At,Gi,Gi,Gi,Gi,Gi
2007,6,Ho,Jk,Ho,Ho,Jk,Jk,Jk
2007,6,Cn,Kc,Kc,Kc,Cn,Kc,Kc
2007,6,Mn,Ch,Ch,Ch,Ch,Ch,Mn
2007,6,Ne,Da,Da,Ne,Ne,Da,Ne
2007,6,No,Se,Se,Se,Se,Se,No
2007,6,Ph,Jt,Jt,Ph,Jt,Ph,Ph
2007,6,Oa,Sd,Sd,Sd,Sd,Sd,Sd
2007,6,Tn,Tb,Tn,Tn,Tn,Tb,Tb
2007,7,Ba,Bu,Ba,Ba,Ba,Ba,Bu
2007,7,Ch,Ph,Ph,Ch,Ch,Ph,Ch
2007,7,Jt,Cn,Cn,Cn,Cn,Cn,Cn
2007,7,Mn,Da,Da,Da,Da,Da,Da
2007,7,Pt,Dn,Pt,Dn,Pt,Pt,Dn
2007,7,Tb,Dt,Tb,Dt,Tb,Tb,Dt
2007,7,Sf,Gi,Gi,Gi,Sf,Gi,Gi
2007,7,In,Jk,In,In,In,In,In
2007,7,Kc,Oa,Oa,Kc,Oa,Kc,Kc
2007,7,Ne,Mi,Ne,Ne,Ne,Ne,Ne
2007,7,At,No,At,No,No,No,No
2007,7,Sl,Se,Se,Se,Se,Se,Se
2007,7,Tn,Ho,Tn,Tn,Tn,Tn,Tn
2007,7,Az,W,W,W,W,W,W
2007,8,Bu,Jt,Jt,Bu,Bu,Bu,Bu
2007,8,Cl,Sl,Cl,Cl,Cl,Cl,Cl
2007,8,Dt,Ch,Dt,Dt,Dt,Ch,Dt
2007,8,Gb,Dn,Gb,Dn,Gb,Dn,Gb
2007,8,Gi,Mi,Gi,Gi,Gi,Gi,Gi
2007,8,In,Ca,In,In,In,In,In
2007,8,Jk,Tb,Jk,Tb,Jk,Jk,Jk
2007,8,W,Ne,Ne,Ne,Ne,Ne,Ne
2007,8,No,Sf,Sf,No,No,No,No
2007,8,Ph,Mn,Mn,Mn,Ph,Mn,Ph
2007,8,Pt,Cn,Pt,Cn,Pt,Cn,Pt
2007,8,Ho,Sd,Sd,Sd,Sd,Sd,Sd
2007,8,Oa,Tn,Tn,Tn,Tn,Tn,Tn
2007,9,Sf,At,At,Sf,Sf,Sf,At
2007,9,Cn,Bu,Bu,Bu,Cn,Bu,Bu
2007,9,Se,Cl,Cl,Se,Se,Se,Cl
2007,9,Da,Ph,Da,Da,Da,Da,Da
2007,9,Dn,Dt,Dt,Dn,Dn,Dn,Dt
2007,9,Gb,Kc,Gb,Gb,Gb,Gb,Gb
2007,9,Ho,Oa,Oa,Ho,Ho,Oa,Ho
2007,9,Sd,Mn,Sd,Sd,Sd,Sd,Mn
2007,9,Ne,In,In,In,In,Ne,Ne
2007,9,Jk,No,Jk,Jk,No,No,No
2007,9,Ba,Pt,Pt,Ba,Pt,Pt,Pt
2007,9,Az,Tb,Tb,Tb,Az,Tb,Tb
2007,9,Ca,Tn,Tn,Tn,Tn,Tn,Tn
2007,9,W,Jt,W,W,W,W,W
2007,10,At,Ca,Ca,Ca,At,Ca,At
2007,10,Dt,Az,Dt,Dt,Dt,Dt,Az
2007,10,Bu,Mi,Bu,Bu,Bu,Bu,Bu
2007,10,Ch,Oa,Ch,Ch,Ch,Ch,Ch
2007,10,Cn,Ba,Ba,Ba,Ba,Ba,Cn
2007,10,Da,Gi,Da,Da,Da,Da,Da
2007,10,Dn,Kc,Kc,Dn,Dn,Kc,Dn
2007,10,Mn,Gb,Gb,Gb,Gb,Gb,Gb
2007,10,Jk,Tn,Tn,Tn,Tn,Tn,Jk
2007,10,Ph,W,W,W,W,W,Ph
2007,10,Cl,Pt,Pt,Pt,Pt,Pt,Pt
2007,10,In,Sd,In,In,In,In,Sd
2007,10,Sf,Se,Se,Se,Se,Se,Se
2007,10,Sl,No,No,No,No,No,Sl
2007,11,Az,Cn,Az,Cn,Az,Cn,Az
2007,11,Cl,Ba,Ba,Ba,Cl,Cl,Cl
2007,11,W,Da,Da,Da,Da,Da,Da
2007,11,Tn,Dn,Tn,Dn,Tn,Tn,Dn
2007,11,Ca,Gb,Gb,Gb,Gb,Gb,Gb
2007,11,Gi,Dt,Gi,Dt,Gi,Gi,Gi
2007,11,No,Ho,Ho,Ho,No,No,Ho
2007,11,Kc,In,In,In,In,In,In
2007,11,Sd,Jk,Jk,Sd,Jk,Jk,Jk
2007,11,Pt,Jt,Pt,Pt,Pt,Pt,Jt
2007,11,Oa,Mn,Mn,Mn,Mn,Mn,Mn
2007,11,Mi,Ph,Ph,Ph,Ph,Ph,Ph
2007,11,Ch,Se,Se,Se,Se,Se,Se
2007,11,Sl,Sf,Sf,Sf,Sf,Sf,Sl
2007,11,Tb,At,Tb,Tb,At,Tb,Tb
2007,11,Ne,Bu,Ne,Ne,Ne,Ne,Ne
2007,12,Dn,Ch,Dn,Dn,Dn,Dn,Ch
2007,12,Ho,Cl,Cl,Cl,Cl,Cl,Cl
2007,12,Tn,Cn,Tn,Tn,Tn,Tn,Cn
2007,12,Jt,Da,Da,Da,Da,Da,Da
2007,12,Gb,Dt,Gb,Gb,Gb,Gb,Gb
2007,12,In,At,In,In,In,In,In
2007,12,Bu,Jk,Jk,Jk,Jk,Jk,Jk
2007,12,Mn,Gi,Gi,Gi,Gi,Gi,Mn
2007,12,Ph,Ne,Ne,Ne,Ne,Ne,Ne
2007,12,No,Ca,Ca,No,No,No,No
2007,12,Oa,Kc,Kc,Kc,Kc,Kc,Oa
2007,12,Mi,Pt,Pt,Pt,Pt,Pt,Pt
2007,12,Ba,Sd,Sd,Sd,Ba,Sd,Sd
2007,12,Se,Sl,Se,Se,Se,Se,Se
2007,12,Sf,Az,Az,Az,Az,Az,Sf
2007,12,W,Tb,Tb,W,W,W,Tb
2007,13,Cl,Az,Cl,Cl,Cl,Cl,Az
2007,13,Bu,W,W,W,W,W,Bu
2007,13,Sf,Ca,Ca,Sf,Ca,Ca,Ca
2007,13,Gb,Da,Da,Da,Gb,Da,Da
2007,13,Gi,Ch,Gi,Ch,Gi,Gi,Gi
2007,13,Jk,In,In,In,In,In,In
2007,13,Jt,Mi,Mi,Mi,Jt,Mi,Jt
2007,13,Dt,Mn,Dt,Dt,Dt,Mn,Mn
2007,13,Ne,Ba,Ne,Ne,Ne,Ne,Ne
2007,13,Dn,Oa,Dn,Dn,Dn,Dn,Oa
2007,13,Cn,Pt,Pt,Pt,Pt,Pt,Pt
2007,13,Sd,Kc,Sd,Sd,Sd,Sd,Sd
2007,13,Se,Ph,Se,Se,Se,Se,Se
2007,13,At,Sl,Sl,At,At,Sl,Sl
2007,13,Tb,No,No,No,No,Tb,Tb
2007,13,Ho,Tn,Tn,Tn,Tn,Tn,Tn
2007,14,Mi,Bu,Bu,Bu,Bu,Bu,Bu
2007,14,Cl,Jt,Cl,Cl,Cl,Cl,Cl
2007,14,Sl,Cn,Sl,Cn,Sl,Sl,Cn
2007,14,Da,Dt,Da,Da,Da,Da,Da
2007,14,Kc,Dn,Dn,Dn,Dn,Dn,Dn
2007,14,Oa,Gb,Gb,Gb,Gb,Gb,Gb
2007,14,Gi,Ph,Gi,Ph,Gi,Gi,Gi
2007,14,Tb,Ho,Tb,Ho,Tb,Tb,Ho
2007,14,In,Ba,In,In,In,In,In
2007,14,Ca,Jk,Jk,Jk,Jk,Jk,Jk
2007,14,Mn,Sf,Mn,Mn,Sf,Mn,Mn
2007,14,Pt,Ne,Ne,Ne,Ne,Ne,Ne
2007,14,No,At,No,No,No,No,No
2007,14,Sd,Tn,Tn,Sd,Tn,Sd,Sd
2007,14,Az,Se,Se,Se,Se,Se,Se
2007,14,Ch,W,W,W,W,W,W
2007,15,Se,Ca,Se,Se,Se,Se,Ca
2007,15,Bu,Cl,Cl,Cl,Cl,Cl,Cl
2007,15,Gb,Sl,Gb,Gb,Gb,Gb,Gb
2007,15,Dn,Ho,Dn,Dn,Dn,Dn,Ho
2007,15,In,Oa,In,In,In,In,In
2007,15,Jk,Pt,Pt,Jk,Pt,Pt,Jk
2007,15,Ba,Mi,Ba,Ba,Ba,Ba,Mi
2007,15,Ch,Mn,Mn,Mn,Mn,Mn,Mn
2007,15,Jt,Ne,Ne,Ne,Ne,Ne,Ne
2007,15,Az,No,No,No,No,No,No
2007,15,Ph,Da,Da,Da,Da,Da,Ph
2007,15,Dt,Sd,Sd,Sd,Sd,Sd,Sd
2007,15,Cn,Sf,Cn,Cn,Cn,Cn,Sf
2007,15,At,Tb,Tb,Tb,Tb,Tb,Tb
2007,15,Tn,Kc,Tn,Tn,Tn,Kc,Tn
2007,15,W,Gi,Gi,Gi,Gi,Gi,W
2007,16,At,Az,Az,Az,Az,Az,Az
2007,16,Gb,Ch,Gb,Gb,Gb,Gb,Ch
2007,16,Cl,Cn,Cl,Cn,Cn,Cl,Cn
2007,16,Da,Ca,Da,Da,Da,Da,Da
2007,16,Kc,Dt,Kc,Dt,Dt,Dt,Dt
2007,16,Gi,Bu,Gi,Gi,Gi,Gi,Gi
2007,16,Ho,In,In,In,In,In,In
2007,16,Oa,Jk,Jk,Jk,Jk,Jk,Jk
2007,16,Mi,Ne,Ne,Ne,Ne,Ne,Ne
2007,16,Ph,No,Ph,Ph,No,Ph,Ph
2007,16,Pt,Sl,Pt,Pt,Pt,Pt,Pt
2007,16,Dn,Sd,Sd,Sd,Sd,Sd,Sd
2007,16,Ba,Se,Se,Se,Se,Se,Se
2007,16,Tb,Sf,Tb,Sf,Sf,Tb,Sf
2007,16,Jt,Tn,Tn,Tn,Tn,Tn,Tn
2007,16,W,Mn,Mn,W,W,Mn,W
2007,17,Se,At,Se,Se,Se,Se,At
2007,17,Sl,Az,Sl,Az,Az,Sl,Az
2007,17,Pt,Ba,Ba,Pt,Pt,Pt,Ba
2007,17,Ca,Tb,Tb,Tb,Tb,Tb,Ca
2007,17,No,Ch,Ch,No,No,No,Ch
2007,17,Sf,Cl,Cl,Cl,Sf,Cl,Cl
2007,17,Cn,Mi,Cn,Cn,Cn,Cn,Cn
2007,17,Mn,Dn,Mn,Dn,Dn,Mn,Dn
2007,17,Dt,Gb,Gb,Gb,Gb,Gb,Gb
2007,17,Jk,Ho,Jk,Ho,Jk,Jk,Ho
2007,17,Kc,Jt,Jt,Kc,Jt,Jt,Jt
2007,17,Ne,Gi,Ne,Ne,Ne,Ne,Ne
2007,17,Bu,Ph,Ph,Ph,Ph,Ph,Ph
2007,17,Sd,Oa,Sd,Sd,Sd,Sd,Sd
2007,17,Tn,In,In,In,In,In,Tn
2007,17,Da,W,Da,Da,Da,W,W
2007,18,Se,Gb,Gb,Se,Gb,Gb,Gb
2007,18,Gi,Tb,Gi,Gi,Tb,Tb,Gi
2007,18,Gi,Da,Da,Da,Da,Da,Gi
2007,18,Gi,Gb,Gb,Gb,Gb,Gb,Gi
2007,18,Gi,Ne,Ne,Ne,Ne,Ne,Gi
2007,18,Jk,Pt,Jk,Jk,Pt,Jk,Jk
2007,18,Jk,Ne,Ne,Ne,Ne,Ne,Ne
2007,18,Sd,Ne,Ne,Ne,Ne,Ne,Ne
2007,18,Tn,Sd,Sd,Sd,Sd,Sd,Sd
2007,18,Sd,In,Sd,In,Sd,In,Sd
2007,18,W,Se,W,W,W,W,Se
