season,Waeek,AWaay Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2009,1,Sf,Az,Az,Az,Az,Az,Sf
2009,1,Sl,Se,Se,Se,Sl,Se,Se
2009,1,Sd,Oa,Sd,Sd,Sd,Sd,Sd
2009,1,Tn,Pt,Pt,Tn,Pt,Pt,Pt
2009,1,Ph,Ca,Ph,Ph,Ph,Ph,Ph
2009,1,Dt,No,No,No,No,No,No
2009,1,Bu,Ne,Ne,Ne,Ne,Ne,Ne
2009,1,Mn,Cl,Mn,Mn,Mn,Cl,Mn
2009,1,Jt,Ho,Jt,Ho,Jt,Ho,Jt
2009,1,Jk,In,In,In,In,In,In
2009,1,Wa,Gi,Gi,Gi,Gi,Gi,Gi
2009,1,Ch,Gb,Gb,Ch,Gb,Gb,Gb
2009,1,Dn,Cn,Dn,Dn,Dn,Dn,Dn
2009,1,Da,Tb,Da,Da,Da,Da,Da
2009,1,Kc,Ba,Ba,Ba,Kc,Ba,Ba
2009,1,Mi,At,At,At,At,Mi,At
2009,2,Sl,Wa,Wa,Wa,Wa,Wa,Wa
2009,2,Se,Sf,Se,Sf,Se,Sf,Sf
2009,2,Oa,Kc,Kc,Kc,Oa,Kc,Oa
2009,2,No,Ph,Ph,Ph,Ph,Ph,No
2009,2,Mn,Dt,Mn,Mn,Mn,Mn,Mn
2009,2,Ne,Jt,Ne,Ne,Ne,Ne,Jt
2009,2,In,Mi,In,In,In,In,In
2009,2,Ho,Tn,Tn,Tn,Tn,Tn,Ho
2009,2,Gi,Da,Da,Da,Gi,Da,Gi
2009,2,Cl,Dn,Dn,Dn,Dn,Dn,Dn
2009,2,Cn,Gb,Gb,Gb,Gb,Gb,Cn
2009,2,Pt,Ch,Pt,Pt,Pt,Pt,Ch
2009,2,Tb,Bu,Bu,Tb,Bu,Bu,Bu
2009,2,Ba,Sd,Sd,Sd,Sd,Sd,Ba
2009,2,Az,Jk,Jk,Jk,Az,Jk,Az
2009,2,Ca,At,At,At,At,At,At
2009,3,Mi,Sd,Sd,Sd,Sd,Sd,Sd
2009,3,Kc,Ph,Ph,Ph,Ph,Ph,Ph
2009,3,No,Bu,Bu,No,Bu,Bu,No
2009,3,At,Ne,Ne,Ne,At,Ne,Ne
2009,3,Sf,Mn,Sf,Mn,Sf,Mn,Mn
2009,3,Tn,Jt,Jt,Jt,Jt,Jt,Jt
2009,3,Jk,Ho,Jk,Ho,Ho,Ho,Jk
2009,3,In,Az,In,In,In,In,In
2009,3,Gi,Tb,Gi,Gi,Gi,Gi,Gi
2009,3,Gb,Sl,Gb,Gb,Gb,Gb,Gb
2009,3,Wa,Dt,Dt,Wa,Wa,Wa,Dt
2009,3,Dn,Oa,Dn,Dn,Dn,Dn,Dn
2009,3,Ca,Da,Da,Da,Da,Da,Da
2009,3,Pt,Cn,Pt,Pt,Pt,Pt,Cn
2009,3,Ch,Se,Se,Ch,Ch,Se,Ch
2009,3,Cl,Ba,Ba,Ba,Ba,Ba,Ba
2009,4,Tb,Wa,Wa,Wa,Wa,Wa,Wa
2009,4,Sl,Sf,Sf,Sf,Sf,Sf,Sf
2009,4,Sd,Pt,Pt,Pt,Sd,Pt,Pt
2009,4,Jt,No,Jt,No,Jt,No,No
2009,4,Ba,Ne,Ne,Ne,Ba,Ne,Ne
2009,4,Gb,Mn,Mn,Mn,Gb,Gb,Mn
2009,4,Bu,Mi,Bu,Mi,Bu,Bu,Mi
2009,4,Tn,Jk,Jk,Jk,Jk,Jk,Jk
2009,4,Se,In,In,In,In,In,In
2009,4,Oa,Ho,Ho,Ho,Oa,Ho,Ho
2009,4,Gi,Kc,Gi,Gi,Gi,Gi,Gi
2009,4,Da,Dn,Da,Dn,Dn,Da,Dn
2009,4,Cn,Cl,Cn,Cn,Cn,Cn,Cn
2009,4,Dt,Ch,Ch,Ch,Ch,Ch,Ch
2009,5,Jk,Se,Jk,Jk,Jk,Jk,Se
2009,5,Pt,Dt,Pt,Pt,Pt,Pt,Pt
2009,5,Tb,Ph,Ph,Ph,Ph,Ph,Ph
2009,5,Mn,Sl,Mn,Mn,Mn,Mn,Mn
2009,5,Jt,Mi,Jt,Jt,Jt,Jt,Mi
2009,5,In,Tn,In,In,In,In,In
2009,5,Oa,Gi,Gi,Gi,Gi,Gi,Gi
2009,5,Ne,Dn,Dn,Ne,Dn,Ne,Dn
2009,5,Da,Kc,Da,Da,Da,Da,Da
2009,5,Cn,Ba,Ba,Ba,Ba,Ba,Cn
2009,5,Cl,Bu,Bu,Bu,Bu,Bu,Cl
2009,5,Wa,Ca,Wa,Ca,Wa,Wa,Ca
2009,5,Ho,Az,Ho,Az,Az,Az,Az
2009,5,At,Sf,Sf,Sf,Sf,Sf,At
2009,6,Cl,Pt,Pt,Pt,Pt,Pt,Pt
2009,6,Ph,Oa,Ph,Ph,Ph,Ph,Oa
2009,6,Gi,No,Gi,Gi,Gi,Gi,No
2009,6,Tn,Ne,Ne,Ne,Ne,Ne,Ne
2009,6,Ba,Mn,Mn,Mn,Mn,Mn,Mn
2009,6,Kc,Wa,Wa,Wa,Wa,Wa,Kc
2009,6,Sl,Jk,Jk,Jk,Jk,Jk,Jk
2009,6,Ho,Cn,Cn,Cn,Cn,Cn,Ho
2009,6,Dt,Gb,Gb,Gb,Gb,Gb,Gb
2009,6,Dn,Sd,Sd,Dn,Dn,Sd,Dn
2009,6,Ca,Tb,Tb,Ca,Ca,Tb,Ca
2009,6,Bu,Jt,Jt,Jt,Jt,Jt,Bu
2009,6,Az,Se,Se,Az,Az,Se,Az
2009,6,Ch,At,At,At,Ch,At,At
2009,7,Sd,Kc,Sd,Sd,Sd,Sd,Sd
2009,7,Mn,Pt,Pt,Mn,Mn,Pt,Pt
2009,7,Ph,Wa,Wa,Ph,Ph,Ph,Ph
2009,7,No,Mi,No,No,No,No,No
2009,7,Ne,Tb,Ne,Ne,Ne,Ne,Ne
2009,7,Jt,Oa,Jt,Jt,Jt,Jt,Jt
2009,7,In,Sl,In,In,In,In,In
2009,7,Sf,Ho,Ho,Ho,Sf,Ho,Ho
2009,7,Gb,Cl,Gb,Gb,Gb,Gb,Gb
2009,7,At,Da,At,Da,Da,At,Da
2009,7,Ch,Cn,Cn,Cn,Cn,Cn,Cn
2009,7,Bu,Ca,Ca,Ca,Bu,Ca,Bu
2009,7,Az,Gi,Gi,Gi,Gi,Gi,Az
2009,8,Jk,Tn,Jk,Jk,Tn,Tn,Tn
2009,8,Sl,Dt,Dt,Dt,Dt,Dt,Sl
2009,8,Oa,Sd,Sd,Sd,Sd,Sd,Sd
2009,8,Gi,Ph,Ph,Gi,Gi,Gi,Ph
2009,8,At,No,No,No,No,No,No
2009,8,Mn,Gb,Mn,Mn,Gb,Gb,Mn
2009,8,Mi,Jt,Jt,Jt,Jt,Jt,Mi
2009,8,Sf,In,In,In,In,In,In
2009,8,Ho,Bu,Ho,Ho,Ho,Bu,Ho
2009,8,Se,Da,Da,Da,Da,Da,Da
2009,8,Cl,Ch,Ch,Ch,Ch,Ch,Ch
2009,8,Ca,Az,Az,Az,Az,Az,Ca
2009,8,Dn,Ba,Dn,Dn,Dn,Dn,Ba
2009,9,Tn,Sf,Sf,Sf,Sf,Sf,Tn
2009,9,Gb,Tb,Gb,Gb,Gb,Gb,Tb
2009,9,Dt,Se,Se,Se,Dt,Se,Se
2009,9,Sd,Gi,Gi,Gi,Sd,Gi,Sd
2009,9,Pt,Dn,Dn,Dn,Dn,Pt,Pt
2009,9,Ca,No,No,No,No,No,No
2009,9,Mi,Ne,Ne,Ne,Ne,Ne,Ne
2009,9,Kc,Jk,Jk,Kc,Jk,Jk,Jk
2009,9,Ho,In,In,In,In,In,In
2009,9,Da,Ph,Ph,Da,Da,Ph,Da
2009,9,Ba,Cn,Cn,Cn,Ba,Cn,Cn
2009,9,Az,Ch,Ch,Ch,Az,Ch,Az
2009,9,Wa,At,At,At,At,At,At
2009,10,Dn,Wa,Dn,Dn,Dn,Dn,Wa
2009,10,Bu,Tn,Tn,Tn,Bu,Tn,Tn
2009,10,Ch,Sf,Ch,Ch,Sf,Sf,Sf
2009,10,Ph,Sd,Sd,Sd,Sd,Sd,Sd
2009,10,No,Sl,No,No,No,No,No
2009,10,Dt,Mn,Mn,Mn,Mn,Mn,Mn
2009,10,Tb,Mi,Mi,Mi,Mi,Mi,Mi
2009,10,Kc,Oa,Kc,Oa,Kc,Oa,Kc
2009,10,Jk,Jt,Jt,Jt,Jt,Jt,Jk
2009,10,Ne,In,In,In,In,Ne,In
2009,10,Da,Gb,Gb,Gb,Gb,Da,Gb
2009,10,Cn,Pt,Pt,Cn,Pt,Pt,Cn
2009,10,At,Ca,At,At,Ca,At,Ca
2009,10,Ba,Cl,Ba,Ba,Ba,Ba,Ba
2009,10,Se,Az,Az,Az,Az,Az,Az
2009,11,Tn,Ho,Ho,Ho,Tn,Ho,Tn
2009,11,Sd,Dn,Dn,Sd,Dn,Sd,Sd
2009,11,Ph,Ch,Ch,Ph,Ph,Ph,Ph
2009,11,Cn,Oa,Cn,Cn,Cn,Cn,Oa
2009,11,No,Tb,No,No,No,No,No
2009,11,Jt,Ne,Ne,Ne,Ne,Ne,Ne
2009,11,Se,Mn,Mn,Mn,Mn,Mn,Mn
2009,11,Mi,Ca,Ca,Mi,Ca,Ca,Mi
2009,11,Pt,Kc,Pt,Pt,Pt,Pt,Kc
2009,11,Bu,Jk,Jk,Jk,Bu,Jk,Jk
2009,11,In,Ba,In,In,In,In,In
2009,11,At,Gi,Gi,Gi,Gi,Gi,Gi
2009,11,Sf,Gb,Gb,Gb,Gb,Gb,Gb
2009,11,Cl,Dt,Dt,Cl,Dt,Cl,Dt
2009,11,Wa,Da,Da,Da,Da,Da,Da
2009,11,Az,Sl,Az,Az,Az,Az,Az
2009,12,Az,Tn,Az,Tn,Az,Tn,Tn
2009,12,Jk,Sf,Jk,Jk,Jk,Jk,Sf
2009,12,Se,Sl,Se,Sl,Sl,Sl,Se
2009,12,Kc,Sd,Sd,Sd,Sd,Sd,Sd
2009,12,Wa,Ph,Ph,Ph,Ph,Ph,Ph
2009,12,Ne,No,No,No,No,Ne,No
2009,12,Ch,Mn,Mn,Mn,Mn,Mn,Mn
2009,12,Ca,Jt,Ca,Jt,Jt,Jt,Jt
2009,12,In,Ho,In,In,In,In,In
2009,12,Gb,Dt,Gb,Gb,Gb,Gb,Gb
2009,12,Gi,Dn,Dn,Gi,Dn,Gi,Dn
2009,12,Oa,Da,Da,Da,Da,Da,Da
2009,12,Cl,Cn,Cn,Cn,Cn,Cn,Cn
2009,12,Mi,Bu,Mi,Mi,Mi,Mi,Bu
2009,12,Pt,Ba,Pt,Ba,Ba,Ba,Ba
2009,12,Tb,At,At,At,At,At,At
2009,13,Sf,Se,Sf,Sf,Se,Sf,Se
2009,13,Sd,Cl,Sd,Sd,Sd,Sd,Sd
2009,13,Ph,At,At,At,Ph,Ph,Ph
2009,13,Oa,Pt,Pt,Pt,Pt,Pt,Oa
2009,13,No,Wa,No,No,No,No,No
2009,13,Ne,Mi,Ne,Ne,Ne,Ne,Mi
2009,13,Jt,Bu,Jt,Bu,Jt,Jt,Jt
2009,13,Ho,Jk,Jk,Ho,Ho,Jk,Jk
2009,13,Tn,In,In,In,In,In,In
2009,13,Da,Gi,Gi,Gi,Da,Da,Gi
2009,13,Ba,Gb,Gb,Gb,Gb,Gb,Gb
2009,13,Dn,Kc,Dn,Dn,Dn,Dn,Dn
2009,13,Dt,Cn,Cn,Cn,Cn,Cn,Cn
2009,13,Sl,Ch,Ch,Ch,Ch,Ch,Ch
2009,13,Tb,Ca,Ca,Ca,Ca,Ca,Ca
2009,13,Mn,Az,Mn,Mn,Mn,Mn,Az
2009,14,Wa,Oa,Oa,Oa,Wa,Wa,Wa
2009,14,Sl,Tn,Tn,Tn,Tn,Tn,Tn
2009,14,Az,Sf,Az,Az,Az,Az,Sf
2009,14,Sd,Da,Da,Da,Sd,Da,Sd
2009,14,Ph,Gi,Gi,Gi,Gi,Gi,Ph
