season,Waeek,AWaay Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2008,7,Cl,Wa,Wa,Wa,Wa,Wa,Wa
2008,8,Oa,Ba,Ba,Ba,Ba,Ba,Ba
2008,8,Az,Ca,Ca,Ca,Ca,Ca,Ca
2008,8,Cl,Jk,Jk,Jk,Jk,Jk,Cl
2008,8,Tb,Da,Da,Da,Da,Tb,Da
2008,8,Gi,Pt,Pt,Gi,Gi,Pt,Gi
2008,8,Kc,Jt,Jt,Jt,Jt,Jt,Jt
2008,8,Bu,Mi,Bu,Mi,Bu,Bu,Mi
2008,8,Sl,Ne,Ne,Ne,Ne,Ne,Ne
2008,8,Sd,No,No,Sd,Sd,Sd,No
2008,8,At,Ph,Ph,Ph,Ph,Ph,Ph
2008,8,Se,Sf,Sf,Se,Se,Se,Se
2008,8,In,Tn,Tn,In,Tn,Tn,Tn
2008,8,Wa,Dt,Wa,Wa,Wa,Wa,Wa
2008,9,At,Oa,At,At,At,At,At
2008,9,Az,Sl,Az,Sl,Az,Az,Az
2008,9,Ba,Cl,Ba,Ba,Ba,Cl,Ba
2008,9,Dt,Ch,Ch,Ch,Ch,Ch,Ch
2008,9,Jk,Cn,Jk,Jk,Jk,Jk,Cn
2008,9,Da,Gi,Gi,Gi,Gi,Gi,Gi
2008,9,Ne,In,In,In,Ne,Ne,In
2008,9,Jt,Bu,Bu,Bu,Bu,Bu,Jt
2008,9,Mi,Dn,Dn,Dn,Dn,Dn,Mi
2008,9,Ho,Mn,Mn,Mn,Mn,Mn,Mn
2008,9,Ph,Se,Ph,Ph,Ph,Ph,Ph
2008,9,Pt,Wa,Pt,Wa,Pt,Wa,Pt
2008,9,Tb,Kc,Tb,Tb,Tb,Tb,Tb
2008,9,Gb,Tn,Tn,Tn,Gb,Tn,Tn
2008,10,No,At,At,At,At,At,At
2008,10,Sf,Az,Az,Az,Sf,Az,Az
2008,10,Ca,Oa,Ca,Ca,Ca,Ca,Ca
2008,10,Dn,Cl,Dn,Dn,Dn,Cl,Dn
2008,10,Gi,Ph,Ph,Gi,Gi,Gi,Gi
2008,10,Cn,Ho,Ho,Ho,Cn,Cn,Ho
2008,10,In,Pt,Pt,In,Pt,Pt,In
2008,10,Jk,Dt,Jk,Jk,Dt,Jk,Jk
2008,10,Sl,Jt,Jt,Jt,Sl,Jt,Jt
2008,10,Se,Mi,Mi,Mi,Se,Mi,Mi
2008,10,Gb,Mn,Mn,Mn,Gb,Mn,Mn
2008,10,Bu,Ne,Ne,Ne,Bu,Ne,Ne
2008,10,Kc,Sd,Sd,Sd,Sd,Sd,Sd
2008,10,Tn,Ch,Tn,Tn,Tn,Tn,Tn
2008,11,Az,Se,Az,Az,Se,Se,Az
2008,11,Dt,Ca,Ca,Ca,Ca,Ca,Ca
2008,11,Cl,Bu,Bu,Bu,Bu,Bu,Cl
2008,11,Da,Wa,Wa,Wa,Da,Wa,Da
2008,11,Dn,At,At,At,Dn,At,Dn
2008,11,Ch,Gb,Gb,Gb,Gb,Gb,Gb
2008,11,Ba,Gi,Gi,Gi,Gi,Gi,Gi
2008,11,Ho,In,In,In,In,In,In
2008,11,Jt,Ne,Ne,Ne,Ne,Ne,Jt
2008,11,Oa,Mi,Mi,Mi,Mi,Mi,Mi
2008,11,No,Kc,No,No,No,No,No
2008,11,Ph,Cn,Ph,Ph,Ph,Ph,TIE
2008,11,Sd,Pt,Pt,Sd,Sd,Pt,Pt
2008,11,Sl,Sf,Sf,Sf,Sf,Sf,Sf
2008,11,Mn,Tb,Mn,Mn,Tb,Tb,Tb
2008,11,Tn,Jk,Tn,Tn,Tn,Jk,Tn
