season,Waeek,AWaay Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2010,1,Az,Sl,Az,Az,Az,Az,Az
2010,1,Ba,Jt,Jt,Jt,Jt,Jt,Ba
2010,1,Dt,Ch,Ch,Ch,Ch,Ch,Ch
2010,1,Gb,Ph,Gb,Gb,Gb,Gb,Gb
2010,1,Ca,Gi,Gi,Gi,Gi,Gi,Gi
2010,1,In,Ho,In,In,In,In,Ho
2010,1,Dn,Jk,Dn,Dn,Dn,Jk,Jk
2010,1,Sd,Kc,Sd,Sd,Sd,Sd,Kc
2010,1,Mi,Bu,Mi,Bu,Mi,Mi,Mi
2010,1,Cn,Ne,Ne,Ne,Ne,Ne,Ne
2010,1,Mn,No,No,No,No,No,No
2010,1,At,Pt,Pt,Pt,Pt,Pt,Pt
2010,1,Sf,Se,Sf,Se,Sf,Se,Se
2010,1,Cl,Tb,Tb,Cl,Cl,Tb,Tb
2010,1,Oa,Tn,Tn,Tn,Tn,Tn,Tn
2010,1,Da,Wa,Da,Wa,Da,Da,Wa
2010,2,Az,At,Az,Az,Az,At,At
2010,2,Ch,Da,Da,Da,Ch,Da,Ch
2010,2,Ba,Cn,Ba,Cn,Cn,Cn,Cn
2010,2,Se,Dn,Dn,Dn,Dn,Dn,Dn
2010,2,Bu,Gb,Gb,Gb,Gb,Gb,Gb
2010,2,Ho,Wa,Wa,Wa,Ho,Ho,Ho
2010,2,Gi,In,In,In,In,In,In
2010,2,Ne,Jt,Ne,Ne,Ne,Ne,Jt
2010,2,Kc,Cl,Kc,Kc,Cl,Kc,Kc
2010,2,Mi,Mn,Mn,Mn,Mn,Mn,Mi
2010,2,No,Sf,No,No,No,No,No
2010,2,Sl,Oa,Sl,Oa,Sl,Oa,Oa
2010,2,Ph,Dt,Ph,Ph,Ph,Ph,Ph
2010,2,Pt,Tn,Tn,Tn,Tn,Tn,Pt
2010,2,Jk,Sd,Sd,Sd,Sd,Sd,Sd
2010,2,Tb,Ca,Tb,Ca,Tb,Ca,Tb
2010,3,At,No,No,No,No,No,At
2010,3,Oa,Az,Az,Az,Az,Az,Az
2010,3,Cl,Ba,Ba,Ba,Ba,Ba,Ba
2010,3,Gb,Ch,Ch,Ch,Gb,Gb,Ch
2010,3,Cn,Ca,Ca,Ca,Cn,Cn,Cn
2010,3,Da,Ho,Da,Ho,Ho,Ho,Da
2010,3,In,Dn,In,In,In,In,In
2010,3,Jt,Mi,Mi,Jt,Jt,Mi,Jt
2010,3,Sf,Kc,Kc,Kc,Kc,Kc,Kc
2010,3,Dt,Mn,Mn,Mn,Mn,Mn,Mn
2010,3,Bu,Ne,Ne,Ne,Ne,Ne,Ne
2010,3,Ph,Jk,Jk,Jk,Ph,Ph,Ph
2010,3,Pt,Tb,Pt,Pt,Pt,Tb,Pt
2010,3,Sd,Se,Sd,Sd,Sd,Sd,Se
2010,3,Wa,Sl,Wa,Wa,Wa,Wa,Sl
2010,3,Tn,Gi,Gi,Tn,Tn,Gi,Tn
2010,4,Sf,At,At,At,At,At,At
2010,4,Ba,Pt,Pt,Pt,Pt,Pt,Ba
2010,4,Cn,Cl,Cn,Cn,Cn,Cn,Cl
2010,4,Dn,Tn,Tn,Tn,Tn,Tn,Dn
2010,4,Dt,Gb,Gb,Gb,Gb,Gb,Gb
2010,4,Ch,Gi,Ch,Ch,Gi,Gi,Gi
2010,4,Ho,Oa,Ho,Ho,Ho,Ho,Ho
2010,4,In,Jk,In,In,In,In,Jk
2010,4,Jt,Bu,Bu,Jt,Jt,Jt,Jt
2010,4,Ne,Mi,Ne,Ne,Ne,Mi,Ne
2010,4,Ca,No,No,No,No,No,No
2010,4,Az,Sd,Sd,Sd,Sd,Sd,Sd
2010,4,Se,Sl,Sl,Sl,Se,Se,Sl
2010,4,Wa,Ph,Ph,Ph,Ph,Ph,Wa
2010,5,At,Cl,At,At,At,At,At
2010,5,No,Az,No,No,No,No,Az
2010,5,Dn,Ba,Ba,Dn,Dn,Ba,Ba
2010,5,Ch,Ca,Ch,Ch,Ch,Ch,Ch
2010,5,Sl,Dt,Sl,Dt,Dt,Sl,Dt
2010,5,Gi,Ho,Ho,Ho,Gi,Ho,Gi
2010,5,Kc,In,In,In,In,In,In
2010,5,Jk,Bu,Jk,Jk,Jk,Jk,Jk
2010,5,Mn,Jt,Jt,Jt,Jt,Jt,Jt
2010,5,Sd,Oa,Sd,Sd,Sd,Sd,Oa
2010,5,Ph,Sf,Ph,Ph,Ph,Ph,Ph
2010,5,Tb,Cn,Tb,Cn,Cn,Cn,Tb
2010,5,Tn,Da,Da,Da,Tn,Da,Tn
2010,5,Gb,Wa,Wa,Wa,Gb,Gb,Wa
2010,6,Dt,Gi,Gi,Gi,Gi,Gi,Gi
2010,6,Kc,Ho,Kc,Ho,Ho,Ho,Ho
2010,6,In,Wa,In,In,In,In,In
2010,6,Jt,Dn,Dn,Jt,Dn,Jt,Jt
2010,6,Mi,Gb,Gb,Gb,Gb,Gb,Mi
2010,6,Da,Mn,Da,Mn,Da,Da,Mn
2010,6,Ba,Ne,Ne,Ne,Ne,Ne,Ne
2010,6,No,Tb,No,No,No,Tb,No
2010,6,At,Ph,Ph,At,Ph,At,Ph
2010,6,Cl,Pt,Pt,Pt,Pt,Pt,Pt
2010,6,Se,Ch,Ch,Ch,Ch,Ch,Se
2010,6,Oa,Sf,Sf,Sf,Sf,Sf,Sf
2010,6,Sd,Sl,Sd,Sd,Sd,Sd,Sl
2010,6,Tn,Jk,Tn,Tn,Tn,Jk,Tn
2010,7,Cn,At,At,At,At,At,At
2010,7,Bu,Ba,Ba,Ba,Ba,Ba,Ba
2010,7,Sf,Ca,Sf,Ca,Ca,Sf,Ca
2010,7,Cl,No,No,No,No,No,Cl
2010,7,Mn,Gb,Gb,Gb,Gb,Gb,Gb
2010,7,Gi,Da,Gi,Gi,Gi,Da,Gi
2010,7,Jk,Kc,Kc,Kc,Kc,Kc,Kc
2010,7,Ne,Sd,Ne,Ne,Ne,Ne,Ne
2010,7,Oa,Dn,Dn,Dn,Dn,Dn,Oa
2010,7,Pt,Mi,Pt,Pt,Pt,Pt,Pt
2010,7,Az,Se,Se,Se,Az,Se,Se
2010,7,Sl,Tb,Tb,Tb,Tb,Tb,Tb
2010,7,Ph,Tn,Tn,Tn,Tn,Tn,Tn
2010,7,Wa,Ch,Ch,Ch,Ch,Ch,Wa
2010,8,Wa,Dt,Wa,Wa,Wa,Wa,Dt
2010,8,Gb,Jt,Jt,Jt,Gb,Jt,Gb
2010,8,Ho,In,In,In,In,In,In
2010,8,Jk,Da,Jk,Da,Da,Da,Jk
2010,8,Bu,Kc,Kc,Kc,Kc,Kc,Kc
2010,8,Mi,Cn,Mi,Cn,Mi,Mi,Mi
2010,8,Mn,Ne,Ne,Ne,Ne,Ne,Ne
2010,8,Pt,No,Pt,Pt,Pt,Pt,No
2010,8,Se,Oa,Se,Oa,Se,Oa,Oa
2010,8,Tn,Sd,Tn,Tn,Tn,Sd,Sd
2010,8,Dn,Sf,Dn,Sf,Dn,Sf,Sf
2010,8,Ca,Sl,Sl,Ca,Ca,Sl,Sl
2010,8,Tb,Az,Az,Az,Az,Tb,Tb
2010,9,Tb,At,At,At,At,At,At
2010,9,Mi,Ba,Ba,Ba,Mi,Ba,Ba
2010,9,Ch,Bu,Ch,Ch,Ch,Ch,Ch
2010,9,Ne,Cl,Ne,Ne,Ne,Ne,Cl
2010,9,Da,Gb,Gb,Gb,Gb,Gb,Gb
2010,9,Gi,Se,Gi,Gi,Gi,Gi,Gi
2010,9,Jt,Dt,Jt,Jt,Jt,Jt,Jt
2010,9,Az,Mn,Mn,Mn,Mn,Mn,Mn
2010,9,No,Ca,No,No,No,No,No
2010,9,Kc,Oa,Kc,Oa,Oa,Oa,Oa
2010,9,In,Ph,In,In,In,In,Ph
2010,9,Pt,Cn,Pt,Pt,Pt,Pt,Pt
