season,Week,Away Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2003,1,At,Da,Da,At,Da,Da,At
2003,1,Ne,Bu,Bu,Bu,Ne,Bu,Bu
2003,1,Jk,Ca,Jk,Jk,Jk,Ca,Ca
2003,1,Dn,Cn,Dn,Dn,Dn,Dn,Dn
2003,1,Az,Dt,Dt,Az,Dt,Az,Dt
2003,1,Sl,Gi,Sl,Gi,Sl,Sl,Gi
2003,1,Ho,Mi,Mi,Mi,Mi,Mi,Ho
2003,1,In,Cl,In,Cl,In,Cl,In
2003,1,Sd,Kc,Kc,Kc,Kc,Kc,Kc
2003,1,Mn,Gb,Gb,Gb,Gb,Gb,Mn
2003,1,Ba,Pt,Pt,Pt,Pt,Pt,Pt
2003,1,No,Se,Se,No,No,No,Se
2003,1,Ch,Sf,Sf,Sf,Ch,Sf,Sf
2003,1,Tb,Ph,Tb,Tb,Tb,Ph,Tb
2003,1,Oa,Tn,Tn,Tn,Oa,Tn,Tn
2003,1,Jt,Wa,Wa,Wa,Jt,Wa,Wa
2003,2,Cl,Ba,Ba,Cl,Cl,Ba,Ba
2003,2,Bu,Jk,Jk,Bu,Jk,Bu,Bu
2003,2,Ca,Tb,Tb,Ca,Tb,Tb,Ca
2003,2,Da,Gi,Gi,Gi,Da,Gi,Da
2003,2,Dn,Sd,Dn,Dn,Dn,Dn,Dn
2003,2,Dt,Gb,Gb,Gb,Gb,Gb,Gb
2003,2,Tn,In,Tn,In,Tn,In,In
2003,2,Pt,Kc,Kc,Pt,Kc,Pt,Kc
2003,2,Mi,Jt,Jt,Jt,Mi,Jt,Mi
2003,2,Ch,Mn,Mn,Mn,Mn,Mn,Mn
2003,2,Ne,Ph,Ph,Ne,Ph,Ph,Ne
2003,2,Ho,No,Ho,Ho,Ho,No,No
2003,2,Cn,Oa,Oa,Oa,Oa,Oa,Oa
2003,2,Se,Az,Se,Az,Se,Se,Se
2003,2,Sf,Sl,Sf,Sf,Sf,Sl,Sl
2003,2,Wa,At,Wa,At,Wa,At,Wa
2003,3,Gb,Az,Gb,Gb,Gb,Gb,Az
2003,3,Ba,Sd,Ba,Sd,Sd,Sd,Ba
2003,3,Cl,Sf,Sf,Sf,Sf,Sf,Cl
2003,3,Oa,Dn,Oa,Dn,Dn,Dn,Dn
2003,3,Gi,Wa,Wa,Wa,Wa,Wa,Gi
2003,3,Jk,In,In,In,Jk,In,In
2003,3,Kc,Ho,Ho,Kc,Kc,Kc,Kc
2003,3,Bu,Mi,Bu,Mi,Mi,Bu,Mi
2003,3,Mn,Dt,Mn,Mn,Mn,Mn,Mn
2003,3,Jt,Ne,Ne,Jt,Jt,Ne,Ne
2003,3,Pt,Cn,Pt,Pt,Pt,Pt,Pt
2003,3,Sl,Se,Se,Sl,Sl,Sl,Se
2003,3,Tb,At,Tb,Tb,Tb,Tb,Tb
2003,3,No,Tn,Tn,Tn,Tn,Tn,Tn
2003,4,At,Ca,Ca,At,At,Ca,Ca
2003,4,Cn,Cl,Cl,Cn,Cl,Cl,Cn
2003,4,Da,Jt,Da,Jt,Da,Da,Da
2003,4,Dt,Dn,Dn,Dn,Dn,Dn,Dn
2003,4,Gb,Ch,Gb,Gb,Gb,Gb,Gb
2003,4,Jk,Ho,Ho,Ho,Jk,Jk,Ho
2003,4,In,No,In,In,In,In,In
2003,4,Kc,Ba,Kc,Kc,Kc,Ba,Kc
2003,4,Sf,Mn,Mn,Sf,Sf,Mn,Mn
2003,4,Sd,Oa,Oa,Sd,Oa,Oa,Oa
2003,4,Ph,Bu,Bu,Bu,Ph,Bu,Ph
2003,4,Az,Sl,Sl,Sl,Sl,Sl,Sl
2003,4,Tn,Pt,Tn,Tn,Tn,Tn,Tn
2003,4,Ne,Wa,Wa,Ne,Wa,Wa,Wa
2003,5,Cn,Bu,Bu,Bu,Cn,Bu,Bu
2003,5,No,Ca,Ca,Ca,No,Ca,Ca
2003,5,Oa,Ch,Oa,Oa,Oa,Oa,Ch
2003,5,Cl,Pt,Pt,Pt,Cl,Pt,Cl
2003,5,Az,Da,Da,Da,Da,Da,Da
2003,5,Se,Gb,Gb,Se,Gb,Gb,Gb
2003,5,In,Tb,In,Tb,In,Tb,In
2003,5,Sd,Jk,Jk,Jk,Sd,Jk,Jk
2003,5,Dn,Kc,Kc,Dn,Dn,Dn,Kc
2003,5,Mi,Gi,Mi,Gi,Mi,Gi,Mi
2003,5,Mn,At,Mn,Mn,Mn,Mn,Mn
2003,5,Tn,Ne,Tn,Tn,Tn,Tn,Ne
2003,5,Wa,Ph,Ph,Wa,Wa,Ph,Ph
2003,5,Dt,Sf,Sf,Sf,Dt,Sf,Sf
2003,6,Ba,Az,Ba,Ba,Ba,Ba,Ba
2003,6,Ca,In,In,In,In,In,Ca
2003,6,Oa,Cl,Oa,Oa,Cl,Cl,Cl
2003,6,Ph,Da,Da,Da,Da,Ph,Da
2003,6,Pt,Dn,Dn,Dn,Dn,Dn,Dn
2003,6,Bu,Jt,Bu,Bu,Jt,Jt,Jt
2003,6,Kc,Gb,Kc,Kc,Gb,Gb,Kc
2003,6,Mi,Jk,Mi,Mi,Mi,Mi,Mi
2003,6,Gi,Ne,Ne,Ne,Gi,Ne,Ne
2003,6,Ch,No,No,Ch,Ch,No,No
2003,6,Sf,Se,Se,Se,Sf,Sf,Se
2003,6,At,Sl,Sl,Sl,Sl,Sl,Sl
2003,6,Tb,Wa,Wa,Tb,Tb,Tb,Tb
2003,6,Ho,Tn,Tn,Tn,Tn,Tn,Tn
2003,7,Wa,Bu,Bu,Bu,Wa,Bu,Bu
2003,7,Ba,Cn,Ba,Ba,Ba,Ba,Cn
2003,7,Da,Dt,Da,Da,Da,Da,Da
2003,7,Jt,Ho,Ho,Jt,Jt,Jt,Jt
2003,7,Kc,Oa,Kc,Kc,Kc,Kc,Kc
2003,7,Dn,Mn,Mn,Dn,Dn,Mn,Mn
2003,7,Ne,Mi,Mi,Ne,Mi,Mi,Ne
2003,7,No,At,At,At,At,No,No
2003,7,Ph,Gi,Gi,Gi,Ph,Ph,Ph
2003,7,Sd,Cl,Cl,Cl,Cl,Cl,Sd
2003,7,Ch,Se,Se,Se,Se,Se,Se
2003,7,Tb,Sf,Sf,Tb,Tb,Tb,Sf
2003,7,Gb,Sl,Sl,Gb,Gb,Gb,Sl
2003,7,Tn,Ca,Ca,Tn,Tn,Ca,Tn
2003,8,Sf,Az,Sf,Sf,Sf,Sf,Az
2003,8,Dn,Ba,Dn,Dn,Dn,Dn,Ba
2003,8,Ca,No,Ca,Ca,No,Ca,Ca
2003,8,Dt,Ch,Ch,Dt,Dt,Ch,Ch
2003,8,Se,Cn,Se,Cn,Se,Se,Cn
2003,8,Gi,Mn,Mn,Mn,Gi,Mn,Gi
2003,8,Ho,In,In,In,In,In,In
2003,8,Bu,Kc,Kc,Kc,Kc,Kc,Kc
2003,8,Mi,Sd,Mi,Mi,Mi,Mi,Mi
2003,8,Cl,Ne,Ne,Ne,Cl,Ne,Ne
2003,8,Jt,Ph,Ph,Jt,Ph,Ph,Ph
2003,8,Sl,Pt,Sl,Pt,Sl,Sl,Sl
2003,8,Da,Tb,Da,Tb,Da,Tb,Tb
2003,8,Tn,Jk,Tn,Tn,Tn,Tn,Tn
2003,9,Cn,Az,Cn,Cn,Cn,Az,Az
2003,9,Jk,Ba,Ba,Ba,Ba,Ba,Ba
2003,9,Sd,Ch,Ch,Ch,Sd,Sd,Ch
2003,9,Wa,Da,Da,Wa,Wa,Da,Da
2003,9,Oa,Dt,Oa,Oa,Dt,Oa,Dt
2003,9,Gb,Mn,Mn,Mn,Gb,Mn,Gb
2003,9,Gi,Jt,Gi,Gi,Jt,Gi,Gi
2003,9,Ca,Ho,Ca,Ca,Ho,Ca,Ho
2003,9,In,Mi,Mi,In,Mi,Mi,In
2003,9,Ne,Dn,Dn,Dn,Dn,Dn,Ne
2003,9,No,Tb,Tb,Tb,Tb,Tb,No
2003,9,Ph,At,Ph,Ph,Ph,Ph,Ph
2003,9,Pt,Se,Se,Se,Pt,Se,Se
2003,9,Sl,Sf,Sl,Sf,Sl,Sl,Sf
2003,10,At,Gi,Gi,Gi,Gi,Gi,At
2003,10,Tb,Ca,Ca,Tb,Tb,Tb,Ca
2003,10,Ho,Cn,Ho,Cn,Cn,Cn,Cn
2003,10,Bu,Da,Da,Bu,Da,Da,Da
2003,10,Ch,Dt,Dt,Dt,Dt,Ch,Dt
2003,10,In,Jk,In,In,In,In,Jk
2003,10,Jt,Oa,Oa,Jt,Jt,Oa,Jt
2003,10,Cl,Kc,Kc,Cl,Kc,Kc,Kc
2003,10,Ph,Gb,Gb,Ph,Gb,Ph,Ph
2003,10,Az,Pt,Pt,Pt,Pt,Pt,Pt
2003,10,Mn,Sd,Mn,Sd,Mn,Mn,Sd
2003,10,Ba,Sl,Sl,Sl,Sl,Sl,Sl
2003,10,Mi,Tn,Tn,Tn,Tn,Tn,Tn
2003,10,Se,Wa,Se,Wa,Se,Wa,Wa
2003,11,Wa,Ca,Ca,Wa,Wa,Ca,Ca
2003,11,Az,Cl,Cl,Cl,Cl,Cl,Cl
2003,11,Kc,Cn,Kc,Kc,Cn,Kc,Cn
2003,11,Sd,Dn,Dn,Dn,Dn,Dn,Dn
2003,11,Gb,Tb,Gb,Tb,Gb,Tb,Gb
2003,11,Ho,Bu,Bu,Ho,Ho,Bu,Ho
2003,11,Jt,In,In,In,Jt,In,In
2003,11,Ba,Mi,Mi,Mi,Mi,Mi,Mi
2003,11,Da,Ne,Da,Ne,Ne,Ne,Ne
2003,11,At,No,No,At,At,No,No
2003,11,Mn,Oa,Mn,Mn,Oa,Mn,Oa
2003,11,Gi,Ph,Ph,Ph,Ph,Ph,Ph
2003,11,Dt,Se,Se,Dt,Dt,Se,Se
2003,11,Pt,Sf,Sf,Pt,Sf,Sf,Sf
2003,11,Sl,Ch,Sl,Sl,Sl,Sl,Sl
2003,11,Jk,Tn,Tn,Tn,Tn,Tn,Tn
2003,12,Se,Ba,Se,Se,Se,Ba,Ba
2003,12,Ch,Dn,Dn,Dn,Dn,Dn,Ch
2003,12,Cn,Sd,Cn,Cn,Cn,Cn,Cn
2003,12,Ca,Da,Da,Da,Da,Da,Da
2003,12,Sf,Gb,Gb,Gb,Gb,Gb,Gb
2003,12,In,Bu,In,In,In,In,In
2003,12,Jk,Jt,Jt,Jt,Jt,Jt,Jt
2003,12,Oa,Kc,Kc,Kc,Kc,Kc,Kc
2003,12,Wa,Mi,Mi,Mi,Mi,Mi,Mi
2003,12,Dt,Mn,Mn,Mn,Mn,Mn,Mn
2003,12,Ne,Ho,Ne,Ne,Ho,Ne,Ne
2003,12,No,Ph,Ph,Ph,Ph,Ph,Ph
2003,12,Pt,Cl,Cl,Pt,Cl,Cl,Pt
2003,12,Sl,Az,Sl,Sl,Sl,Sl,Sl
2003,12,Gi,Tb,Tb,Tb,Tb,Tb,Tb
2003,12,Tn,At,Tn,Tn,Tn,Tn,Tn
2003,13,Sf,Ba,Ba,Ba,Ba,Sf,Ba
2003,13,Bu,Gi,Bu,Gi,Bu,Gi,Bu
2003,13,Az,Ch,Az,Ch,Az,Ch,Ch
2003,13,Cn,Pt,Cn,Cn,Cn,Pt,Cn
2003,13,Dn,Oa,Dn,Dn,Dn,Dn,Dn
2003,13,Gb,Dt,Gb,Dt,Gb,Gb,Dt
2003,13,At,Ho,Ho,Ho,At,Ho,Ho
2003,13,Tb,Jk,Tb,Tb,Tb,Tb,Jk
