season,week,Away Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2017,1,Kc,Ne,Ne,Ne,Ne,Ne,Kc
2017,1,Jt,Bu,Jt,Bu,Bu,Bu,Bu
2017,1,At,Ch,Ch,At,At,At,At
2017,1,Ba,Cn,Ba,Ba,Cn,Ba,Ba
2017,1,Pt,Cl,Pt,Pt,Pt,Pt,Pt
2017,1,Az,Dt,Az,Dt,Az,Dt,Dt
2017,1,Jk,Ho,Ho,Ho,Ho,Ho,Jk
2017,1,Tb,Mi,Mi,Tb,Mi,Tb,Tb
2017,1,Oa,Tn,Oa,Oa,Oa,Oa,Oa
2017,1,Ph,Wa,W,W,W,W,Ph
2017,1,In,La,In,In,La,La,La
2017,1,Se,Gb,Gb,Gb,Gb,Gb,Gb
2017,1,Ca,Sf,Sf,Ca,Ca,Ca,Ca
2017,1,Gi,Da,Da,Da,Da,Da,Da
2017,1,No,Mn,No,No,No,Mn,Mn
2017,1,Sd,Dn,Dn,Sd,Dn,Dn,Dn
2017,2,Ho,Cn,Ho,Cn,Cn,Cn,Ho
2017,2,Cl,Ba,Ba,Ba,Ba,Ba,Ba
2017,2,Bu,Ca,Ca,Ca,Ca,Ca,Ca
2017,2,Az,In,In,Az,Az,In,Az
2017,2,Tn,Jk,Jk,Tn,Jk,Tn,Tn
2017,2,Ph,Kc,Kc,Kc,Kc,Kc,Kc
2017,2,Ne,No,Ne,Ne,Ne,Ne,Ne
2017,2,Mn,Pt,Pt,Pt,Pt,Pt,Pt
2017,2,Ch,Tb,Tb,Tb,Tb,Tb,Tb
2017,2,Mi,Sd,Sd,Sd,Mi,Sd,Mi
2017,2,Jt,Oa,Oa,Oa,Oa,Oa,Oa
2017,2,Da,Dn,Dn,Da,Dn,Da,Dn
2017,2,Wa,La,W,W,La,W,W
2017,2,Sf,Se,Se,Se,Se,Se,Se
2017,2,Gb,At,Gb,At,Gb,Gb,At
2017,2,Dt,Gi,Dt,Dt,Gi,Dt,Dt
2017,3,La,Sf,La,La,Sf,La,La
2017,3,Ba,Jk,Ba,Ba,Ba,Ba,Jk
2017,3,Dn,Bu,Dn,Dn,Dn,Dn,Bu
2017,3,No,Ca,Ca,No,Ca,Ca,No
2017,3,Pt,Ch,Pt,Pt,Pt,Pt,Ch
2017,3,At,Dt,Dt,At,At,At,At
2017,3,Cl,In,In,In,In,In,In
2017,3,Tb,Mn,Tb,Mn,Mn,Mn,Mn
2017,3,Ho,Ne,Ne,Ne,Ne,Ne,Ne
2017,3,Mi,Jt,Jt,Jt,Mi,Mi,Jt
2017,3,Gi,Ph,Gi,Ph,Gi,Ph,Ph
2017,3,Se,Tn,Se,Tn,Se,Se,Tn
2017,3,Cn,Gb,Gb,Gb,Gb,Gb,Gb
2017,3,Kc,Sd,Kc,Kc,Sd,Kc,Kc
2017,3,Oa,Wa,W,Oa,Oa,W,W
2017,3,Da,Az,Az,Da,Da,Az,Da
2017,4,Ch,Gb,Gb,Gb,Gb,Gb,Gb
2017,4,No,Mi,Mi,No,No,Mi,No
2017,4,Bu,At,At,At,At,At,Bu
2017,4,Pt,Ba,Pt,Pt,Pt,Pt,Pt
2017,4,Cn,Cl,Cn,Cn,Cn,Cn,Cn
2017,4,La,Da,Da,Da,Da,Da,La
2017,4,Tn,Ho,Ho,Tn,Ho,Tn,Ho
2017,4,Dt,Mn,Dt,Dt,Mn,Mn,Dt
2017,4,Ca,Ne,Ne,Ne,Ne,Ne,Ca
2017,4,Jk,Jt,Jt,Jk,Jk,Jt,Jt
2017,4,Sf,Az,Az,Az,Az,Az,Az
2017,4,Ph,Sd,Ph,Sd,Ph,Sd,Ph
2017,4,Gi,Tb,Tb,Tb,Gi,Tb,Tb
2017,4,Oa,Dn,Dn,Oa,Oa,Oa,Dn
2017,4,In,Se,Se,Se,Se,Se,Se
2017,4,Wa,Kc,Kc,Kc,Kc,Kc,Kc
2017,5,Ne,Tb,Ne,Ne,Ne,Ne,Ne
2017,5,Bu,Cn,Cn,Bu,Cn,Bu,Cn
2017,5,Jt,Cl,Jt,Jt,Jt,Jt,Jt
2017,5,Ca,Dt,Dt,Dt,Dt,Dt,Ca
2017,5,Sf,In,In,Sf,In,In,In
2017,5,Tn,Mi,Mi,Tn,Mi,Mi,Mi
2017,5,Sd,Gi,Gi,Gi,Sd,Gi,Sd
2017,5,Az,Ph,Az,Ph,Az,Ph,Ph
2017,5,Jk,Pt,Pt,Pt,Pt,Pt,Jk
2017,5,Se,La,Se,Se,La,La,Se
2017,5,Ba,Oa,Ba,Ba,Oa,Oa,Ba
2017,5,Gb,Da,Gb,Gb,Gb,Gb,Gb
2017,5,Kc,Ho,Kc,Kc,Ho,Kc,Kc
2017,5,Mn,Ch,Ch,Mn,Mn,Mn,Mn
2017,6,Ph,Ca,Ph,Ph,Ph,Ca,Ph
2017,6,Mi,At,At,At,At,At,Mi
2017,6,Ch,Ba,Ba,Ch,Ba,Ba,Ch
2017,6,Cl,Ho,Ho,Ho,Ho,Ho,Ho
2017,6,Gb,Mn,Gb,Gb,Gb,Gb,Mn
2017,6,Dt,No,Dt,Dt,Dt,No,No
2017,6,Ne,Jt,Ne,Ne,Ne,Ne,Ne
2017,6,Sf,Wa,W,W,W,W,W
2017,6,Tb,Az,Az,Az,Az,Az,Az
2017,6,La,Jk,Jk,Jk,Jk,La,La
2017,6,Pt,Kc,Kc,Kc,Kc,Kc,Pt
2017,6,Sd,Oa,Oa,Oa,Oa,Oa,Sd
2017,6,Gi,Dn,Dn,Dn,Dn,Dn,Gi
2017,6,In,Tn,Tn,Tn,Tn,Tn,Tn
2017,7,Kc,Oa,Kc,Kc,Kc,Kc,Oa
2017,7,Tb,Bu,Bu,Bu,Bu,Bu,Bu
2017,7,Ca,Ch,Ch,Ca,Ca,Ca,Ch
2017,7,Tn,Cl,Tn,Tn,Tn,Tn,Tn
2017,7,No,Gb,No,Gb,Gb,Gb,No
2017,7,Jk,In,In,Jk,In,Jk,Jk
2017,7,Az,La,Az,La,Az,La,La
2017,7,Jt,Mi,Jt,Jt,Mi,Mi,Mi
2017,7,Ba,Mn,Ba,Mn,Mn,Mn,Mn
2017,7,Cn,Pt,Pt,Pt,Pt,Pt,Pt
2017,7,Da,Sf,Da,Da,Da,Da,Da
2017,7,Dn,Sd,Dn,Dn,Dn,Sd,Sd
2017,7,Se,Gi,Se,Se,Se,Se,Se
2017,7,At,Ne,Ne,Ne,Ne,Ne,Ne
2017,7,Wa,Ph,W,Ph,W,W,Ph
2017,8,Mi,Ba,Ba,Ba,Mi,Mi,Ba
2017,8,Mn,Cl,Mn,Mn,Mn,Mn,Mn
2017,8,Oa,Bu,Bu,Oa,Oa,Bu,Bu
2017,8,In,Cn,Cn,Cn,In,Cn,Cn
2017,8,Sd,Ne,Ne,Ne,Ne,Ne,Ne
2017,8,Ch,No,No,No,No,No,No
2017,8,At,Jt,Jt,At,At,At,At
2017,8,Sf,Ph,Ph,Ph,Ph,Ph,Ph
2017,8,Ca,Tb,Ca,Ca,Tb,Tb,Ca
2017,8,Ho,Se,Se,Se,Se,Se,Se
2017,8,Da,Wa,W,Da,Da,Da,Da
2017,8,Pt,Dt,Pt,Dt,Pt,Pt,Pt
2017,8,Dn,Kc,Kc,Kc,Kc,Kc,Kc
2017,9,Bu,Jt,Jt,Bu,Jt,Bu,Jt
2017,9,At,Ca,Ca,At,At,At,Ca
2017,9,In,Ho,Ho,Ho,Ho,Ho,In
2017,9,Cn,Jk,Jk,Jk,Jk,Jk,Jk
2017,9,Tb,No,No,No,No,No,No
2017,9,La,Gi,La,La,La,La,La
2017,9,Dn,Ph,Ph,Ph,Ph,Ph,Ph
2017,9,Ba,Tn,Ba,Tn,Ba,Ba,Tn
2017,9,Az,Sf,Az,Az,Az,Az,Az
2017,9,Wa,Se,Se,Se,Se,Se,W
2017,9,Kc,Da,Kc,Kc,Kc,Kc,Da
2017,9,Oa,Mi,Mi,Oa,Oa,Mi,Oa
2017,9,Dt,Gb,Gb,Dt,Gb,Gb,Dt
2017,10,Se,Az,Se,Se,Se,Az,Se
2017,10,No,Bu,No,Bu,No,No,No
2017,10,Gb,Ch,Ch,Ch,Gb,Ch,Gb
2017,10,Cl,Dt,Dt,Dt,Dt,Dt,Dt
2017,10,Pt,In,Pt,Pt,Pt,Pt,Pt
2017,10,Sd,Jk,Jk,Jk,Jk,Jk,Jk
2017,10,Jt,Tb,Jt,Tb,Tb,Tb,Tb
2017,10,Cn,Tn,Cn,Tn,Tn,Tn,Tn
2017,10,Mn,Wa,W,W,Mn,W,Mn
2017,10,Ho,La,La,La,La,La,La
2017,10,Da,At,Da,At,At,At,At
2017,10,Gi,Sf,Sf,Gi,Sf,Sf,Sf
2017,10,Ne,Dn,Ne,Ne,Ne,Ne,Ne
2017,10,Mi,Ca,Ca,Ca,Mi,Ca,Ca
2017,11,Tn,Pt,Pt,Pt,Pt,Pt,Pt
2017,11,Dt,Ch,Dt,Dt,Dt,Dt,Dt
2017,11,Jk,Cl,Jk,Jk,Jk,Jk,Jk
2017,11,Ba,Gb,Ba,Gb,Gb,Gb,Ba
2017,11,Az,Ho,Az,Ho,Az,Az,Ho
2017,11,La,Mn,Mn,La,La,Mn,Mn
2017,11,Wa,No,No,No,No,No,No
2017,11,Kc,Gi,Kc,Kc,Kc,Kc,Gi
2017,11,Bu,Sd,Bu,Sd,Bu,Sd,Sd
2017,11,Cn,Dn,Cn,Dn,Dn,Cn,Cn
2017,11,Ne,Oa,Ne,Ne,Ne,Ne,Ne
2017,11,Ph,Da,Ph,Da,Ph,Ph,Ph
2017,11,At,Se,Se,At,At,Se,At
2017,12,Mn,Dt,Mn,Dt,Mn,Mn,Mn
2017,12,Sd,Da,Da,Da,Da,Da,Sd
2017,12,Gi,Wa,W,W,W,W,W
2017,12,Tb,At,At,At,At,At,At
2017,12,Cl,Cn,Cn,Cn,Cn,Cn,Cn
2017,12,Tn,In,Tn,Tn,In,Tn,Tn
2017,12,Bu,Kc,Kc,Kc,Kc,Kc,Bu
2017,12,Mi,Ne,Ne,Ne,Ne,Ne,Ne
2017,12,Ca,Jt,Ca,Ca,Ca,Ca,Ca
2017,12,Ch,Ph,Ph,Ph,Ph,Ph,Ph
2017,12,No,La,La,La,La,La,La
2017,12,Se,Sf,Se,Se,Se,Se,Se
2017,12,Jk,Az,Jk,Jk,Az,Jk,Az
2017,12,Dn,Oa,Oa,Oa,Dn,Oa,Oa
2017,12,Gb,Pt,Pt,Pt,Gb,Pt,Pt
