season,week,Away Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2013,1,Cn,Ch,Ch,Ch,Ch,Ch,Ch
2013,1,Gi,Da,Gi,Gi,Gi,Gi,Da
2013,1,Ba,Dn,Ba,Dn,Ba,Dn,Dn
2013,1,Mn,Dt,Mn,Dt,Mn,Mn,Dt
2013,1,Ho,Sd,Sd,Ho,Ho,Ho,Ho
2013,1,Oa,In,In,In,Oa,In,In
2013,1,Tb,Jt,Jt,Tb,Tb,Tb,Jt
2013,1,Kc,Jk,Jk,Kc,Kc,Jk,Kc
2013,1,Mi,Cl,Cl,Cl,Mi,Cl,Mi
2013,1,Ne,Bu,Ne,Ne,Ne,Ne,Ne
2013,1,At,No,No,At,At,No,No
2013,1,Ph,W,W,W,W,W,Ph
2013,1,Se,Ca,Se,Ca,Ca,Se,Se
2013,1,Gb,Sf,Sf,Sf,Gb,Sf,Sf
2013,1,Az,Sl,Sl,Az,Sl,Sl,Sl
2013,1,Tn,Pt,Pt,Pt,Pt,Pt,Tn
2013,2,Sl,At,At,At,At,At,At
2013,2,Dt,Az,Az,Dt,Dt,Dt,Az
2013,2,Cl,Ba,Ba,Ba,Ba,Ba,Ba
2013,2,Ca,Bu,Ca,Bu,Bu,Bu,Bu
2013,2,Mn,Ch,Ch,Ch,Ch,Ch,Ch
2013,2,Pt,Cn,Pt,Pt,Pt,Pt,Cn
2013,2,Dn,Gi,Gi,Dn,Dn,Dn,Dn
2013,2,W,Gb,Gb,Gb,Gb,Gb,Gb
2013,2,Tn,Ho,Ho,Ho,Ho,Ho,Ho
2013,2,Da,Kc,Da,Kc,Da,Kc,Kc
2013,2,Mi,In,Mi,In,Mi,In,Mi
2013,2,Jt,Ne,Ne,Ne,Ne,Ne,Ne
2013,2,No,Tb,No,No,No,No,No
2013,2,Jk,Oa,Jk,Oa,Jk,Oa,Oa
2013,2,Sd,Ph,Sd,Ph,Ph,Ph,Sd
2013,2,Sf,Se,Se,Sf,Sf,Sf,Se
2013,3,Ho,Ba,Ba,Ho,Ba,Ho,Ba
2013,3,Gi,Ca,Gi,Gi,Gi,Gi,Ca
2013,3,Ch,Pt,Pt,Pt,Pt,Ch,Ch
2013,3,Cl,Mn,Mn,Mn,Mn,Mn,Cl
2013,3,Gb,Cn,Gb,Gb,Gb,Gb,Cn
2013,3,Sl,Da,Da,Da,Da,Da,Da
2013,3,Oa,Dn,Dn,Dn,Dn,Dn,Dn
2013,3,Dt,W,W,Dt,W,W,Dt
2013,3,In,Sf,Sf,Sf,Sf,Sf,In
2013,3,Bu,Jt,Jt,Bu,Bu,Jt,Jt
2013,3,Kc,Ph,Ph,Kc,Kc,Ph,Kc
2013,3,At,Mi,Mi,At,At,At,Mi
2013,3,Tb,Ne,Ne,Ne,Ne,Ne,Ne
2013,3,Az,No,No,No,No,No,No
2013,3,Jk,Se,Se,Se,Se,Se,Se
2013,3,Sd,Tn,Sd,Tn,Tn,Tn,Tn
2013,4,Az,Tb,Az,Tb,Az,Tb,Az
2013,4,Ba,Bu,Ba,Ba,Ba,Bu,Bu
2013,4,Cn,Cl,Cl,Cn,Cn,Cn,Cl
2013,4,Ph,Dn,Dn,Dn,Dn,Dn,Dn
2013,4,Ch,Dt,Ch,Ch,Ch,Ch,Dt
2013,4,In,Jk,In,In,In,In,In
2013,4,Gi,Kc,Kc,Kc,Kc,Kc,Kc
2013,4,Pt,Mn,Mn,Mn,Pt,Mn,Mn
2013,4,Ne,At,Ne,Ne,Ne,At,Ne
2013,4,Mi,No,No,Mi,No,No,No
2013,4,Da,Sd,Sd,Sd,Da,Sd,Sd
2013,4,Se,Ho,Se,Se,Se,Ho,Se
2013,4,Sf,Sl,Sf,Sf,Sf,Sf,Sf
2013,4,Jt,Tn,Tn,Tn,Tn,Tn,Tn
2013,4,W,Oa,W,W,W,W,W
2013,5,Ca,Az,Az,Az,Ca,Az,Az
2013,5,Ba,Mi,Ba,Mi,Ba,Mi,Ba
2013,5,Bu,Cl,Cl,Cl,Cl,Cl,Cl
2013,5,Ne,Cn,Ne,Ne,Ne,Ne,Cn
2013,5,Dn,Da,Dn,Dn,Dn,Dn,Dn
2013,5,Dt,Gb,Gb,Gb,Gb,Gb,Gb
2013,5,Se,In,Se,Se,Se,In,In
2013,5,Jt,At,At,At,At,At,Jt
2013,5,Kc,Tn,Kc,Kc,Kc,Tn,Kc
2013,5,No,Ch,No,No,Ch,No,No
2013,5,Sd,Oa,Sd,Sd,Sd,Sd,Oa
2013,5,Ph,Gi,Ph,Ph,Gi,Gi,Ph
2013,5,Ho,Sf,Sf,Sf,Sf,Sf,Sf
2013,5,Jk,Sl,Sl,Sl,Sl,Sl,Sl
2013,6,Ca,Mn,Mn,Mn,Mn,Mn,Ca
2013,6,Gi,Ch,Ch,Ch,Ch,Ch,Ch
2013,6,Cn,Bu,Cn,Cn,Bu,Cn,Cn
2013,6,W,Da,Da,Da,W,Da,Da
2013,6,Jk,Dn,Dn,Dn,Dn,Dn,Dn
2013,6,Dt,Cl,Dt,Dt,Dt,Cl,Dt
2013,6,Gb,Ba,Ba,Gb,Gb,Gb,Gb
2013,6,Oa,Kc,Kc,Kc,Kc,Kc,Kc
2013,6,No,Ne,Ne,Ne,Ne,Ne,Ne
2013,6,Ph,Tb,Tb,Ph,Tb,Tb,Ph
2013,6,Pt,Jt,Jt,Jt,Pt,Jt,Pt
2013,6,In,Sd,Sd,In,Sd,Sd,Sd
2013,6,Tn,Se,Se,Se,Se,Se,Se
2013,6,Az,Sf,Sf,Sf,Sf,Sf,Sf
2013,6,Sl,Ho,Ho,Ho,Ho,Ho,Sl
2013,7,Tb,At,At,At,At,At,At
2013,7,Bu,Mi,Mi,Mi,Mi,Mi,Bu
2013,7,Sl,Ca,Ca,Ca,Ca,Sl,Ca
2013,7,Cn,Dt,Dt,Dt,Dt,Cn,Cn
2013,7,Da,Ph,Ph,Da,Da,Da,Da
2013,7,Cl,Gb,Gb,Gb,Gb,Gb,Gb
2013,7,Mn,Gi,Mn,Gi,Gi,Gi,Gi
2013,7,Dn,In,In,Dn,Dn,In,In
2013,7,Ne,Jt,Ne,Ne,Ne,Ne,Jt
2013,7,Ho,Kc,Kc,Kc,Kc,Kc,Kc
2013,7,Ba,Pt,Ba,Pt,Ba,Ba,Pt
2013,7,Sd,Jk,Sd,Sd,Sd,Sd,Sd
2013,7,Se,Az,Se,Se,Se,Se,Se
2013,7,Sf,Tn,Sf,Tn,Sf,Sf,Sf
2013,7,Ch,W,Ch,Ch,Ch,W,W
2013,8,At,Az,Az,At,At,At,Az
2013,8,Ca,Tb,Ca,Ca,Ca,Ca,Ca
2013,8,Jt,Cn,Cn,Cn,Cn,Jt,Cn
2013,8,W,Dn,Dn,Dn,Dn,Dn,Dn
2013,8,Da,Dt,Dt,Dt,Dt,Da,Dt
2013,8,Gb,Mn,Mn,Gb,Gb,Gb,Gb
2013,8,Gi,Ph,Ph,Ph,Ph,Ph,Gi
2013,8,Cl,Kc,Kc,Kc,Kc,Kc,Kc
