season,week,Away Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2016,1,Ca,Dn,Dn,Ca,Ca,Ca,Dn
2016,1,Tb,At,Tb,At,At,At,Tb
2016,1,Mn,Tn,Tn,Tn,Tn,Tn,Mn
2016,1,Cl,Ph,Ph,Ph,Ph,Ph,Ph
2016,1,Cn,Jt,Cn,Cn,Cn,Cn,Cn
2016,1,Oa,No,No,No,No,Oa,Oa
2016,1,Sd,Kc,Kc,Kc,Kc,Kc,Kc
2016,1,Bu,Ba,Ba,Ba,Ba,Ba,Ba
2016,1,Ch,Ho,Ho,Ho,Ch,Ho,Ho
2016,1,Gb,Jk,Gb,Gb,Gb,Gb,Gb
2016,1,Mi,Se,Se,Se,Se,Se,Se
2016,1,Gi,Da,Da,Gi,Da,Da,Gi
2016,1,Dt,In,In,In,In,In,Dt
2016,1,Ne,Az,Ne,Az,Ne,Ne,Ne
2016,1,Pt,W,Pt,W,Pt,W,Pt
2016,1,Sl,Sf,Sf,Sf,Sf,Sf,Sf
2016,2,Jt,Bu,Bu,Bu,Bu,Bu,Jt
2016,2,Sf,Ca,Ca,Ca,Ca,Ca,Ca
2016,2,Da,W,Da,W,Da,W,Da
2016,2,Cn,Pt,Pt,Pt,Pt,Pt,Pt
2016,2,No,Gi,Gi,Gi,Gi,No,Gi
2016,2,Mi,Ne,Ne,Ne,Ne,Ne,Ne
2016,2,Kc,Ho,Kc,Kc,Kc,Kc,Ho
2016,2,Tn,Dt,Dt,Dt,Tn,Dt,Tn
2016,2,Ba,Cl,Ba,Ba,Ba,Ba,Ba
2016,2,Se,Sl,Se,Se,Se,Se,La
2016,2,Tb,Az,Az,Az,Az,Az,Az
2016,2,Jk,Sd,Sd,Sd,Sd,Sd,Sd
2016,2,At,Oa,Oa,Oa,At,Oa,At
2016,2,In,Dn,Dn,Dn,Dn,Dn,Dn
2016,2,Gb,Mn,Gb,Gb,Gb,Gb,Mn
2016,2,Ph,Ch,Ph,Ph,Ch,Ph,Ph
2016,3,Ho,Ne,Ne,Ne,Ne,Ne,Ne
2016,3,Az,Bu,Az,Az,Az,Az,Bu
2016,3,Oa,Tn,Tn,Oa,Oa,Oa,Oa
2016,3,W,Gi,Gi,Gi,Gi,Gi,W
2016,3,Cl,Mi,Mi,Mi,Cl,Mi,Mi
2016,3,Ba,Jk,Ba,Ba,Ba,Ba,Ba
2016,3,Dt,Gb,Gb,Dt,Gb,Gb,Gb
2016,3,Dn,Cn,Dn,Dn,Dn,Cn,Dn
2016,3,Mn,Ca,Ca,Ca,Ca,Ca,Mn
2016,3,Sl,Tb,La,Tb,La,La,La
2016,3,Sf,Se,Se,Se,Se,Se,Se
2016,3,Jt,Kc,Kc,Kc,Kc,Kc,Kc
2016,3,Sd,In,Sd,In,In,In,In
2016,3,Pt,Ph,Pt,Ph,Pt,Pt,Ph
2016,3,Ch,Da,Da,Ch,Da,Da,Da
2016,3,At,No,No,No,At,No,At
2016,4,Mi,Cn,Cn,Cn,Mi,Cn,Cn
2016,4,In,Jk,In,In,In,In,Jk
2016,4,Tn,Ho,Ho,Ho,Tn,Ho,Ho
2016,4,Cl,W,W,W,W,W,W
2016,4,Se,Jt,Se,Jt,Se,Se,Se
2016,4,Bu,Ne,Ne,Ne,Ne,Ne,Bu
2016,4,Ca,At,At,Ca,At,At,At
2016,4,Oa,Ba,Ba,Oa,Ba,Ba,Oa
2016,4,Dt,Ch,Ch,Dt,Ch,Dt,Ch
2016,4,Dn,Tb,Dn,Dn,Dn,Dn,Dn
2016,4,Sl,Az,Az,Az,Az,Az,La
2016,4,No,Sd,Sd,Sd,No,Sd,No
2016,4,Da,Sf,Da,Sf,Da,Da,Da
2016,4,Kc,Pt,Pt,Pt,Pt,Pt,Pt
2016,4,Gi,Mn,Gi,Mn,Gi,Mn,Mn
2016,5,Az,Sf,Az,Az,Az,Az,Az
2016,5,Ne,Cl,Ne,Ne,Ne,Ne,Ne
2016,5,Ph,Dt,Ph,Ph,Dt,Ph,Dt
2016,5,Ch,In,In,In,In,In,In
2016,5,Tn,Mi,Tn,Tn,Tn,Mi,Tn
2016,5,W,Ba,Ba,Ba,W,Ba,W
2016,5,Ho,Mn,Mn,Mn,Mn,Mn,Mn
2016,5,Jt,Pt,Pt,Pt,Pt,Pt,Pt
2016,5,At,Dn,Dn,Dn,Dn,Dn,At
2016,5,Cn,Da,Da,Da,Da,Da,Da
2016,5,Bu,Sl,La,Bu,La,La,Bu
2016,5,Sd,Oa,Oa,Oa,Oa,Oa,Oa
2016,5,Gi,Gb,Gb,Gb,Gb,Gb,Gb
2016,5,Tb,Ca,Ca,Ca,Ca,Ca,Tb
2016,6,Dn,Sd,Dn,Dn,Dn,Dn,Sd
2016,6,Sf,Bu,Sf,Bu,Bu,Bu,Bu
2016,6,Ph,W,W,Ph,W,W,W
2016,6,Cl,Tn,Tn,Tn,Tn,Tn,Tn
2016,6,Ba,Gi,Gi,Gi,Ba,Gi,Gi
2016,6,Ca,No,No,No,No,No,No
2016,6,Jk,Ch,Ch,Ch,Ch,Ch,Jk
2016,6,Sl,Dt,La,Dt,La,Dt,Dt
2016,6,Pt,Mi,Pt,Pt,Pt,Pt,Mi
2016,6,Cn,Ne,Ne,Ne,Ne,Ne,Ne
2016,6,Kc,Oa,Kc,Oa,Oa,Oa,Kc
2016,6,At,Se,Se,Se,Se,At,Se
2016,6,Da,Gb,Gb,Gb,Gb,Gb,Da
2016,6,In,Ho,Ho,In,In,Ho,Ho
2016,6,Jt,Az,Az,Az,Az,Az,Az
2016,7,Ch,Gb,Gb,Gb,Gb,Gb,Gb
2016,7,Gi,Sl,Gi,La,Gi,Gi,Gi
2016,7,No,Kc,Kc,Kc,No,Kc,Kc
2016,7,In,Tn,In,In,Tn,Tn,In
2016,7,Mn,Ph,Ph,Mn,Mn,Mn,Ph
2016,7,Cl,Cn,Cn,Cn,Cn,Cn,Cn
2016,7,W,Dt,W,W,W,W,Dt
2016,7,Oa,Jk,Oa,Oa,Oa,Oa,Oa
2016,7,Bu,Mi,Bu,Bu,Mi,Bu,Mi
2016,7,Ba,Jt,Jt,Ba,Ba,Ba,Jt
2016,7,Tb,Sf,Sf,Sf,Sf,Sf,Tb
2016,7,Sd,At,At,At,At,At,Sd
2016,7,Ne,Pt,Ne,Ne,Ne,Ne,Ne
2016,7,Se,Az,Az,Az,Se,Az,TIE
2016,7,Ho,Dn,Dn,Dn,Dn,Dn,Dn
2016,8,Jk,Tn,Tn,Tn,Tn,Tn,Tn
2016,8,W,Cn,Cn,Cn,W,W,TIE
2016,8,Kc,In,Kc,In,In,Kc,Kc
2016,8,Oa,Tb,Oa,Oa,Oa,Oa,Oa
2016,8,Se,No,No,Se,Se,No,No
2016,8,Dt,Ho,Ho,Ho,Ho,Ho,Ho
2016,8,Jt,Cl,Jt,Jt,Cl,Cl,Jt
2016,8,Gb,At,Gb,Gb,Gb,Gb,At
2016,8,Ne,Bu,Ne,Ne,Ne,Ne,Ne
2016,8,Sd,Dn,Dn,Dn,Dn,Dn,Dn
2016,8,Az,Ca,Az,Az,Az,Az,Ca
2016,8,Ph,Da,Da,Ph,Da,Da,Da
2016,8,Mn,Ch,Mn,Ch,Mn,Mn,Ch
2016,9,At,Tb,At,At,At,At,At
2016,9,Dt,Mn,Mn,Mn,Mn,Mn,Dt
2016,9,Ph,Gi,Ph,Gi,Gi,Gi,Gi
2016,9,Jt,Mi,Mi,Mi,Mi,Mi,Mi
2016,9,Jk,Kc,Kc,Kc,Kc,Kc,Kc
2016,9,Da,Cl,Da,Cl,Da,Da,Da
2016,9,Pt,Ba,Ba,Ba,Pt,Pt,Ba
2016,9,No,Sf,Sf,Sf,No,No,No
2016,9,Ca,Sl,Ca,La,Ca,Ca,Ca
2016,9,In,Gb,Gb,Gb,Gb,Gb,In
2016,9,Tn,Sd,Sd,Sd,Tn,Sd,Sd
2016,9,Dn,Oa,Dn,Oa,Dn,Dn,Oa
2016,9,Bu,Se,Bu,Se,Se,Se,Se
2016,10,Cl,Ba,Ba,Ba,Ba,Ba,Ba
2016,10,Ho,Jk,Ho,Ho,Ho,Ho,Ho
2016,10,Dn,No,No,Dn,Dn,No,Dn
2016,10,Sl,Jt,Jt,La,La,Jt,La
2016,10,At,Ph,At,At,At,At,Ph
2016,10,Kc,Ca,Ca,Kc,Kc,Ca,Kc
2016,10,Ch,Tb,Ch,Ch,Ch,Ch,Tb
2016,10,Mn,W,W,W,Mn,W,W
2016,10,Gb,Tn,Gb,Gb,Gb,Gb,Tn
2016,10,Mi,Sd,Sd,Sd,Sd,Sd,Mi
2016,10,Sf,Az,Az,Az,Az,Az,Az
2016,10,Da,Pt,Pt,Da,Pt,Da,Da
2016,10,Se,Ne,Ne,Ne,Ne,Ne,Se
2016,10,Cn,Gi,Gi,Gi,Gi,Gi,Gi
2016,11,No,Ca,Ca,Ca,No,Ca,Ca
2016,11,Pt,Cl,Pt,Pt,Pt,Pt,Pt
2016,11,Ba,Da,Da,Da,Da,Da,Da
2016,11,Jk,Dt,Dt,Dt,Dt,Dt,Dt
2016,11,Tn,In,In,In,In,In,In
2016,11,Bu,Cn,Cn,Cn,Cn,Cn,Bu
2016,11,Tb,Kc,Kc,Kc,Kc,Kc,Tb
2016,11,Ch,Gi,Gi,Gi,Gi,Gi,Gi
2016,11,Az,Mn,Az,Mn,Mn,Mn,Mn
2016,11,Mi,Sl,La,La,Mi,La,Mi
2016,11,Ne,Sf,Sf,Ne,Ne,Ne,Ne
2016,11,Ph,Se,Se,Se,Se,Se,Se
2016,11,Gb,W,Gb,W,Gb,W,W
2016,11,Ho,Oa,Oa,Oa,Ho,Oa,Oa
2016,12,Mn,Dt,Dt,Mn,Mn,Dt,Dt
2016,12,W,Da,Da,Da,Da,Da,Da
2016,12,Pt,In,Pt,Pt,Pt,Pt,Pt
2016,12,Tn,Ch,Ch,Tn,Ch,Ch,Tn
2016,12,Jk,Bu,Bu,Bu,Bu,Bu,Bu
2016,12,Cn,Ba,Cn,Cn,Ba,Ba,Ba
2016,12,Az,At,At,At,At,At,At
2016,12,Gi,Cl,Gi,Gi,Gi,Gi,Gi
2016,12,Sl,No,No,La,No,No,No
2016,12,Sf,Mi,Mi,Mi,Mi,Mi,Mi
2016,12,Sd,Ho,Ho,Sd,Ho,Ho,Sd
2016,12,Se,Tb,Se,Se,Se,Se,Tb
2016,12,Ca,Oa,Oa,Oa,Oa,Oa,Oa
2016,12,Kc,Dn,Dn,Dn,Dn,Dn,Kc
2016,12,Ne,Jt,Ne,Ne,Ne,Ne,Ne
2016,12,Gb,Ph,Gb,Ph,Gb,Ph,Gb
2016,13,Da,Mn,Da,Da,Da,Da,Da
2016,13,Kc,At,At,At,At,Kc,Kc
2016,13,Dt,No,Dt,Dt,No,No,Dt
2016,13,Sl,Ne,Ne,Ne,Ne,Ne,Ne
2016,13,Dn,Jk,Dn,Dn,Dn,Dn,Dn
2016,13,Ho,Gb,Gb,Gb,Gb,Gb,Gb
2016,13,Ph,Cn,Cn,Ph,Ph,Cn,Cn
2016,13,Mi,Ba,Ba,Ba,Ba,Ba,Ba
2016,13,Sf,Ch,Ch,Ch,Ch,Ch,Ch
2016,13,Bu,Oa,Oa,Oa,Oa,Oa,Oa
2016,13,Gi,Pt,Pt,Gi,Pt,Pt,Pt
2016,13,W,Az,Az,W,W,W,Az
2016,13,Tb,Sd,Tb,Sd,Sd,Sd,Tb
2016,13,Ca,Se,Se,Se,Se,Se,Se
2016,13,In,Jt,Jt,In,In,Jt,In
2016,14,Oa,Kc,Oa,Kc,Oa,Kc,Kc
2016,14,Pt,Bu,Pt,Pt,Pt,Pt,Pt
2016,14,Dn,Tn,Dn,Dn,Dn,Dn,Tn
2016,14,No,Tb,Tb,Tb,No,Tb,Tb
2016,14,W,Ph,Ph,Ph,W,W,W
2016,14,Az,Mi,Az,Az,Az,Mi,Mi
2016,14,Sd,Ca,Ca,Sd,Ca,Sd,Ca
2016,14,Cn,Cl,Cn,Cn,Cn,Cn,Cn
2016,14,Ch,Dt,Dt,Dt,Dt,Dt,Dt
2016,14,Ho,In,In,In,Ho,In,Ho
2016,14,Mn,Jk,Mn,Mn,Mn,Mn,Mn
2016,14,Jt,Sf,Sf,Sf,Sf,Sf,Jt
2016,14,At,Sl,At,At,At,At,At
2016,14,Se,Gb,Gb,Gb,Gb,Gb,Gb
2016,14,Da,Gi,Da,Da,Da,Da,Gi
2016,14,Ba,Ne,Ne,Ne,Ne,Ne,Ne
2016,15,Sl,Se,Se,Se,Se,Se,Se
2016,15,Mi,Jt,Mi,Mi,Mi,Mi,Mi
2016,15,Gb,Ch,Gb,Gb,Gb,Gb,Gb
2016,15,Tb,Da,Da,Da,Da,Da,Da
2016,15,Jk,Ho,Ho,Ho,Ho,Ho,Ho
2016,15,Cl,Bu,Bu,Bu,Bu,Bu,Bu
2016,15,Ph,Ba,Ba,Ba,Ba,Ba,Ba
2016,15,Tn,Kc,Kc,Kc,Kc,Kc,Tn
2016,15,Dt,Gi,Gi,Gi,Gi,Gi,Gi
2016,15,In,Mn,Mn,In,Mn,Mn,In
2016,15,No,Az,Az,No,No,Az,No
2016,15,Sf,At,At,At,At,At,At
2016,15,Ne,Dn,Ne,Ne,Ne,Ne,Ne
2016,15,Oa,Sd,Oa,Sd,Oa,Sd,Oa
2016,15,Pt,Cn,Pt,Pt,Pt,Pt,Pt
2016,15,Ca,W,W,W,W,W,Ca
2016,16,Gi,Ph,Gi,Ph,Gi,Gi,Ph
2016,16,Mi,Bu,Mi,Bu,Mi,Mi,Mi
2016,16,Tb,No,No,No,No,No,No
2016,16,Jt,Ne,Ne,Ne,Ne,Ne,Ne
2016,16,Tn,Jk,Tn,Jk,Tn,Tn,Jk
2016,16,Mn,Gb,Gb,Gb,Gb,Gb,Gb
2016,16,Sd,Cl,Sd,Cl,Sd,Sd,Cl
2016,16,W,Ch,W,Ch,W,W,W
2016,16,At,Ca,At,Ca,At,At,At
2016,16,In,Oa,In,Oa,Oa,Oa,Oa
2016,16,Az,Se,Se,Se,Se,Se,Az
2016,16,Sf,Sl,La,La,Sf,La,Sf
2016,16,Cn,Ho,Ho,Ho,Ho,Ho,Ho
2016,16,Ba,Pt,Pt,Pt,Pt,Pt,Pt
2016,16,Dn,Kc,Kc,Kc,Dn,Kc,Kc
2016,16,Dt,Da,Da,Da,Da,Da,Da
2016,17,No,At,At,At,At,At,At
2016,17,Ba,Cn,Ba,Cn,Ba,Ba,Cn
2016,17,Gi,W,W,W,Gi,W,Gi
2016,17,Ho,Tn,Tn,Tn,Tn,Ho,Tn
2016,17,Ca,Tb,Tb,Tb,Tb,Tb,Tb
2016,17,Gb,Dt,Gb,Dt,Gb,Gb,Gb
2016,17,Jk,In,In,In,In,In,In
2016,17,Ne,Mi,Ne,Mi,Ne,Ne,Ne
2016,17,Ch,Mn,Mn,Mn,Mn,Mn,Mn
2016,17,Bu,Jt,Bu,Jt,Bu,Bu,Jt
2016,17,Da,Ph,Da,Ph,Da,Da,Ph
2016,17,Cl,Pt,Pt,Pt,Pt,Pt,Pt
2016,17,Az,Sl,Az,La,Az,Az,Az
