season,week,Away Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2015,1,Pt,Ne,Ne,Ne,Ne,Ne,Ne
2015,1,Kc,Ho,Kc,Kc,Kc,Kc,Kc
2015,1,In,Bu,In,In,In,In,Bu
2015,1,Gb,Ch,Gb,Gb,Gb,Gb,Gb
2015,1,Ca,Jk,Jk,Ca,Ca,Ca,Ca
2015,1,Cl,Jt,Jt,Jt,Jt,Cl,Jt
2015,1,Mi,W,Mi,Mi,Mi,W,Mi
2015,1,Se,Sl,Se,Se,Se,Se,Sl
2015,1,Dt,Sd,Sd,Sd,Dt,Sd,Sd
2015,1,No,Az,Az,No,Az,Az,Az
2015,1,Cn,Oa,Cn,Cn,Cn,Cn,Cn
2015,1,Ba,Dn,Ba,Dn,Dn,Dn,Dn
2015,1,Tn,Tb,Tb,Tn,Tb,Tb,Tn
2015,1,Gi,Da,Gi,Da,Da,Da,Da
2015,1,Ph,At,Ph,At,At,Ph,At
2015,1,Mn,Sf,Sf,Sf,Sf,Sf,Sf
2015,2,Dn,Kc,Kc,Dn,Dn,Kc,Dn
2015,2,Dt,Mn,Mn,Dt,Dt,Mn,Mn
2015,2,Az,Ch,Ch,Ch,Az,Az,Az
2015,2,Tn,Cl,Tn,Tn,Tn,Tn,Cl
2015,2,Ne,Bu,Ne,Ne,Ne,Ne,Ne
2015,2,Ho,Ca,Ca,Ca,Ho,Ho,Ca
2015,2,Sf,Pt,Pt,Sf,Pt,Pt,Pt
2015,2,Sd,Cn,Sd,Cn,Sd,Cn,Cn
2015,2,Sl,W,Sl,Sl,W,W,W
2015,2,At,Gi,Gi,Gi,At,Gi,At
2015,2,Tb,No,No,No,No,No,Tb
2015,2,Ba,Oa,Ba,Ba,Ba,Ba,Oa
2015,2,Mi,Jk,Mi,Mi,Mi,Mi,Jk
2015,2,Da,Ph,Ph,Da,Da,Da,Da
2015,2,Se,Gb,Gb,Gb,Gb,Gb,Gb
2015,2,Jt,In,Jt,In,In,In,Jt
