season,week,Away Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2019,1,Gb,Ch,Ch,Ch,Gb,Gb,Gb
2019,1,At,Mn,Mn,At,At,Mn,Mn
2019,1,Ba,Mi,Ba,Mi,Ba,Ba,Ba
2019,1,Bu,Jt,Jt,Jt,Jt,Bu,Bu
2019,1,Kc,Jk,Kc,Kc,Jk,Kc,Kc
2019,1,La,Ca,Ca,La,La,La,La
2019,1,Tn,Cl,Tn,Cl,Tn,Cl,Tn
2019,1,W,Ph,Ph,Ph,Ph,Ph,Ph
2019,1,Cn,Se,Se,Se,Se,Se,Se
2019,1,In,Sd,Sd,Sd,Sd,Sd,Sd
2019,1,Dt,Az,Az,Az,Az,Az,TIE
2019,1,Gi,Da,Da,Da,Da,Da,Da
2019,1,Sf,Tb,Tb,Tb,Sf,Sf,Sf
2019,1,Pt,Ne,Ne,Ne,Ne,Ne,Ne
2019,1,Ho,No,No,No,No,No,No
2019,1,Dn,Oa,Dn,Dn,Oa,Dn,Oa
2019,2,Tb,Ca,Ca,Ca,Ca,Ca,Tb
2019,2,Az,Ba,Ba,Ba,Ba,Ba,Ba
2019,2,Bu,Gi,Gi,Bu,Gi,Gi,Bu
2019,2,Da,W,W,W,Da,W,Da
2019,2,In,Tn,Tn,Tn,Tn,Tn,In
2019,2,Jk,Ho,Ho,Ho,Jk,Ho,Ho
2019,2,Sd,Dt,Sd,Sd,Sd,Sd,Dt
2019,2,Mn,Gb,Gb,Gb,Gb,Gb,Gb
2019,2,Ne,Mi,Ne,Ne,Ne,Ne,Ne
2019,2,Sf,Cn,Cn,Cn,Sf,Cn,Sf
2019,2,Se,Pt,Pt,Pt,Se,Se,Se
2019,2,Kc,Oa,Kc,Kc,Kc,Kc,Kc
2019,2,Ch,Dn,Ch,Ch,Ch,Dn,Ch
2019,2,No,La,La,No,La,La,La
2019,2,Ph,At,Ph,At,Ph,Ph,At
2019,2,Cl,Jt,Jt,Cl,Cl,Cl,Cl
2019,3,Tn,Jk,Jk,Jk,Jk,Tn,Jk
2019,3,At,In,At,At,At,At,In
2019,3,Ba,Kc,Kc,Kc,Kc,Kc,Kc
2019,3,Cn,Bu,Bu,Bu,Cn,Bu,Bu
2019,3,Dn,Gb,Gb,Gb,Gb,Gb,Gb
2019,3,Dt,Ph,Ph,Ph,Ph,Ph,Dt
2019,3,Mi,Da,Da,Da,Da,Da,Da
2019,3,Jt,Ne,Ne,Ne,Ne,Ne,Ne
2019,3,Oa,Mn,Mn,Mn,Oa,Mn,Mn
2019,3,Ca,Az,Az,Az,Az,Az,Ca
2019,3,Gi,Tb,Gi,Tb,Gi,Tb,Gi
2019,3,Ho,Sd,Sd,Ho,Sd,Sd,Ho
2019,3,No,Se,Se,Se,No,Se,No
2019,3,Pt,Sf,Sf,Sf,Sf,Sf,Sf
2019,3,La,Cl,La,La,La,La,La
2019,3,Ch,W,W,W,Ch,W,Ch
2019,4,Ph,Gb,Gb,Gb,Gb,Gb,Ph
2019,4,Ca,Ho,Ho,Ho,Ho,Ho,Ca
2019,4,Cl,Ba,Ba,Ba,Ba,Ba,Cl
